   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
    E6 : ae                                                -                        ae                                      Latin-1 Supplement                      LATIN SMALL LETTER AE

Letterlike Symbols
  210A : gscript                                           -                        gscript                                 Letterlike Symbols                      SCRIPT SMALL G      

Marchen
 11C88 : marchenlettera                                    -                        marchenlettera                          Marchen                                 MARCHEN LETTER -A   
 11C8F : marchenlettera                                    -                        marchenlettera                          Marchen                                 MARCHEN LETTER A    

Mathematical Alphanumeric Symbols
 1D4C7 : rscript                                           -                        rscript                                 Mathematical Alphanumeric Symbols       MATHEMATICAL SCRIPT SMALL R

Mathematical Operators
  22C8 : bowtie                                            -                        bowtie                                  Mathematical Operators                  BOWTIE              
  221B : cuberoot                                          -                        cuberoot                                Mathematical Operators                  CUBE ROOT           
  221C : fourthroot                                        -                        fourthroot                              Mathematical Operators                  FOURTH ROOT         

Miscellaneous Symbols
  2666 : diamondblack                                      -                        diamondblack                            Miscellaneous Symbols                   BLACK DIAMOND SUIT  
  2662 : diamondwhite                                      -                        diamondwhite                            Miscellaneous Symbols                   WHITE DIAMOND SUIT  

Miscellaneous Symbols and Pictographs
 1F476 : baby                                              -                        baby                                    Miscellaneous Symbols and Pictographs   BABY                
 1F514 : bell                                              -                        bell                                    Miscellaneous Symbols and Pictographs   BELL                
 1F4A8 : dash                                              -                        dash                                    Miscellaneous Symbols and Pictographs   DASH SYMBOL         
 1F48D : ring                                              -                        ring                                    Miscellaneous Symbols and Pictographs   RING                

Miscellaneous Technical
  237E : bell                                              -                        bell                                    Miscellaneous Technical                 BELL SYMBOL         
  2396 : decimalseparator                                  -                        decimalseparator                        Miscellaneous Technical                 DECIMAL SEPARATOR KEY SYMBOL

Optical Character Recognition
  2445 : bowtie                                            -                        bowtie                                  Optical Character Recognition           OCR BOW TIE         
  2441 : chair                                             -                        chair                                   Optical Character Recognition           OCR CHAIR           
  2448 : dash                                              -                        dash                                    Optical Character Recognition           OCR DASH            

Phonetic Extensions
  1D25 : ain                                               -                        ain                                     Phonetic Extensions                     LATIN LETTER AIN    

Soyombo
 11A50 : soyombolettera                                    -                        soyombolettera                          Soyombo                                 SOYOMBO LETTER A    
 11A7A : soyombolettera                                    -                        soyombolettera                          Soyombo                                 SOYOMBO LETTER -A   

Spacing Modifier Letters
   2DA : ring                                              -                        ring                                    Spacing Modifier Letters                RING ABOVE          
   2DC : tilde                                             -                        tilde                                   Spacing Modifier Letters                SMALL TILDE         

Symbols and Pictographs Extended-A
 1FA91 : chair                                             -                        chair                                   Symbols and Pictographs Extended-A      CHAIR               

Transport and Map Symbols
 1F6BC : baby                                              -                        baby                                    Transport and Map Symbols               BABY SYMBOL         
