   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   92E : deva-ma                                           dvMa                     deva-ma                                 Devanagari                              DEVANAGARI LETTER MA
   928 : deva-na                                           dvNa                     deva-na                                 Devanagari                              DEVANAGARI LETTER NA
   919 : deva-nga                                          dvNga                    deva-nga                                Devanagari                              DEVANAGARI LETTER NGA
   96F : deva-nine                                         dvNine                   deva-nine                               Devanagari                              DEVANAGARI DIGIT NINE
   923 : deva-nna                                          dvNna                    deva-nna                                Devanagari                              DEVANAGARI LETTER NNA
   929 : deva-nnna                                         dvNnna                   deva-nnna                               Devanagari                              DEVANAGARI LETTER NNNA
   93C : deva-nukta                                        dvNukta                  deva-nukta                              Devanagari                              DEVANAGARI SIGN NUKTA
   91E : deva-nya                                          dvNya                    deva-nya                                Devanagari                              DEVANAGARI LETTER NYA
   913 : deva-o                                            dvO                      deva-o                                  Devanagari                              DEVANAGARI LETTER O 
   911 : deva-ocandra                                      dvOcandra                deva-ocandra                            Devanagari                              DEVANAGARI LETTER CANDRA O
   950 : deva-om                                           dvOm                     deva-om                                 Devanagari                              DEVANAGARI OM       
   967 : deva-one                                          dvOne                    deva-one                                Devanagari                              DEVANAGARI DIGIT ONE
   94B : deva-osign                                        dvOsign                  deva-osign                              Devanagari                              DEVANAGARI VOWEL SIGN O
   949 : deva-osigncandra                                  dvOcandrasign            deva-osigncandra                        Devanagari                              DEVANAGARI VOWEL SIGN CANDRA O
   92A : deva-pa                                           dvPa                     deva-pa                                 Devanagari                              DEVANAGARI LETTER PA
   92B : deva-pha                                          dvPha                    deva-pha                                Devanagari                              DEVANAGARI LETTER PHA
   958 : deva-qa                                           dvQa                     deva-qa                                 Devanagari                              DEVANAGARI LETTER QA
   930 : deva-ra                                           dvRa                     deva-ra                                 Devanagari                              DEVANAGARI LETTER RA
   95D : deva-rha                                          dvRha                    deva-rha                                Devanagari                              DEVANAGARI LETTER RHA
   931 : deva-rra                                          dvRra                    deva-rra                                Devanagari                              DEVANAGARI LETTER RRA
   960 : deva-rrvocal                                      dvRrvocal                deva-rrvocal                            Devanagari                              DEVANAGARI LETTER VOCALIC RR
   944 : deva-rrvocalsign                                  dvRrvocalsign            deva-rrvocalsign                        Devanagari                              DEVANAGARI VOWEL SIGN VOCALIC RR
   90B : deva-rvocal                                       dvRvocal                 deva-rvocal                             Devanagari                              DEVANAGARI LETTER VOCALIC R
   943 : deva-rvocalsign                                   dvRvocalsign             deva-rvocalsign                         Devanagari                              DEVANAGARI VOWEL SIGN VOCALIC R
   938 : deva-sa                                           dvSa                     deva-sa                                 Devanagari                              DEVANAGARI LETTER SA
   96D : deva-seven                                        dvSeven                  deva-seven                              Devanagari                              DEVANAGARI DIGIT SEVEN
   936 : deva-sha                                          dvSha                    deva-sha                                Devanagari                              DEVANAGARI LETTER SHA
   96C : deva-six                                          dvSix                    deva-six                                Devanagari                              DEVANAGARI DIGIT SIX
   937 : deva-ssa                                          dvSsa                    deva-ssa                                Devanagari                              DEVANAGARI LETTER SSA
   924 : deva-ta                                           dvTa                     deva-ta                                 Devanagari                              DEVANAGARI LETTER TA
   925 : deva-tha                                          dvTha                    deva-tha                                Devanagari                              DEVANAGARI LETTER THA
   969 : deva-three                                        dvThree                  deva-three                              Devanagari                              DEVANAGARI DIGIT THREE
   91F : deva-tta                                          dvTta                    deva-tta                                Devanagari                              DEVANAGARI LETTER TTA
   920 : deva-ttha                                         dvTtha                   deva-ttha                               Devanagari                              DEVANAGARI LETTER TTHA
   968 : deva-two                                          dvTwo                    deva-two                                Devanagari                              DEVANAGARI DIGIT TWO
   909 : deva-u                                            dvU                      deva-u                                  Devanagari                              DEVANAGARI LETTER U 
   941 : deva-usign                                        dvUsign                  deva-usign                              Devanagari                              DEVANAGARI VOWEL SIGN U
   90A : deva-uu                                           dvUu                     deva-uu                                 Devanagari                              DEVANAGARI LETTER UU
   942 : deva-uusign                                       dvUusign                 deva-uusign                             Devanagari                              DEVANAGARI VOWEL SIGN UU
   935 : deva-va                                           dvVa                     deva-va                                 Devanagari                              DEVANAGARI LETTER VA
   94D : deva-virama                                       dvVirama                 deva-virama                             Devanagari                              DEVANAGARI SIGN VIRAMA
   903 : deva-visarga                                      dvVisarga                deva-visarga                            Devanagari                              DEVANAGARI SIGN VISARGA
   92F : deva-ya                                           dvYa                     deva-ya                                 Devanagari                              DEVANAGARI LETTER YA
   95F : deva-yya                                          dvYya                    deva-yya                                Devanagari                              DEVANAGARI LETTER YYA
   95B : deva-za                                           dvZa                     deva-za                                 Devanagari                              DEVANAGARI LETTER ZA
   966 : deva-zero                                         dvZero                   deva-zero                               Devanagari                              DEVANAGARI DIGIT ZERO
   979 : deva-zha                                          dvZha                    deva-zha                                Devanagari                              DEVANAGARI LETTER ZHA

Ethiopic
  1260 : ethi-ba                                           -                        ethi-ba                                 Ethiopic                                ETHIOPIC SYLLABLE BA
  1265 : ethi-be                                           -                        ethi-be                                 Ethiopic                                ETHIOPIC SYLLABLE BE
  1262 : ethi-bi                                           -                        ethi-bi                                 Ethiopic                                ETHIOPIC SYLLABLE BI
  1266 : ethi-bo                                           -                        ethi-bo                                 Ethiopic                                ETHIOPIC SYLLABLE BO
  1261 : ethi-bu                                           -                        ethi-bu                                 Ethiopic                                ETHIOPIC SYLLABLE BU
  1278 : ethi-ca                                           -                        ethi-ca                                 Ethiopic                                ETHIOPIC SYLLABLE CA
  1328 : ethi-cha                                          -                        ethi-cha                                Ethiopic                                ETHIOPIC SYLLABLE CHA
  132D : ethi-che                                          -                        ethi-che                                Ethiopic                                ETHIOPIC SYLLABLE CHE
  132A : ethi-chi                                          -                        ethi-chi                                Ethiopic                                ETHIOPIC SYLLABLE CHI
  127E : ethi-co                                           -                        ethi-co                                 Ethiopic                                ETHIOPIC SYLLABLE CO
  1365 : ethi-colon                                        -                        ethi-colon                              Ethiopic                                ETHIOPIC COLON      
  1363 : ethi-comma                                        -                        ethi-comma                              Ethiopic                                ETHIOPIC COMMA      
  12F0 : ethi-da                                           -                        ethi-da                                 Ethiopic                                ETHIOPIC SYLLABLE DA
  12F8 : ethi-dda                                          -                        ethi-dda                                Ethiopic                                ETHIOPIC SYLLABLE DDA
  12F5 : ethi-de                                           -                        ethi-de                                 Ethiopic                                ETHIOPIC SYLLABLE DE
  12F2 : ethi-di                                           -                        ethi-di                                 Ethiopic                                ETHIOPIC SYLLABLE DI
  12F6 : ethi-do                                           -                        ethi-do                                 Ethiopic                                ETHIOPIC SYLLABLE DO
  12F1 : ethi-du                                           -                        ethi-du                                 Ethiopic                                ETHIOPIC SYLLABLE DU
  1370 : ethi-eight                                        -                        ethi-eight                              Ethiopic                                ETHIOPIC DIGIT EIGHT
  1348 : ethi-fa                                           -                        ethi-fa                                 Ethiopic                                ETHIOPIC SYLLABLE FA
  134A : ethi-fi                                           -                        ethi-fi                                 Ethiopic                                ETHIOPIC SYLLABLE FI
  136D : ethi-five                                         -                        ethi-five                               Ethiopic                                ETHIOPIC DIGIT FIVE 
  136C : ethi-four                                         -                        ethi-four                               Ethiopic                                ETHIOPIC DIGIT FOUR 
  1308 : ethi-ga                                           -                        ethi-ga                                 Ethiopic                                ETHIOPIC SYLLABLE GA
  130D : ethi-ge                                           -                        ethi-ge                                 Ethiopic                                ETHIOPIC SYLLABLE GE
  1318 : ethi-gga                                          -                        ethi-gga                                Ethiopic                                ETHIOPIC SYLLABLE GGA
  130A : ethi-gi                                           -                        ethi-gi                                 Ethiopic                                ETHIOPIC SYLLABLE GI
  130E : ethi-go                                           -                        ethi-go                                 Ethiopic                                ETHIOPIC SYLLABLE GO
  1309 : ethi-gu                                           -                        ethi-gu                                 Ethiopic                                ETHIOPIC SYLLABLE GU
  1200 : ethi-ha                                           -                        ethi-ha                                 Ethiopic                                ETHIOPIC SYLLABLE HA
  1203 : ethi-haa                                          -                        ethi-haa                                Ethiopic                                ETHIOPIC SYLLABLE HAA
  1205 : ethi-he                                           -                        ethi-he                                 Ethiopic                                ETHIOPIC SYLLABLE HE
  1202 : ethi-hi                                           -                        ethi-hi                                 Ethiopic                                ETHIOPIC SYLLABLE HI
  1206 : ethi-ho                                           -                        ethi-ho                                 Ethiopic                                ETHIOPIC SYLLABLE HO
  1201 : ethi-hu                                           -                        ethi-hu                                 Ethiopic                                ETHIOPIC SYLLABLE HU
  1300 : ethi-ja                                           -                        ethi-ja                                 Ethiopic                                ETHIOPIC SYLLABLE JA
  1305 : ethi-je                                           -                        ethi-je                                 Ethiopic                                ETHIOPIC SYLLABLE JE
  12A8 : ethi-ka                                           -                        ethi-ka                                 Ethiopic                                ETHIOPIC SYLLABLE KA
  12AD : ethi-ke                                           -                        ethi-ke                                 Ethiopic                                ETHIOPIC SYLLABLE KE
  12AA : ethi-ki                                           -                        ethi-ki                                 Ethiopic                                ETHIOPIC SYLLABLE KI
  12AE : ethi-ko                                           -                        ethi-ko                                 Ethiopic                                ETHIOPIC SYLLABLE KO
  12A9 : ethi-ku                                           -                        ethi-ku                                 Ethiopic                                ETHIOPIC SYLLABLE KU
  1208 : ethi-la                                           -                        ethi-la                                 Ethiopic                                ETHIOPIC SYLLABLE LA
  1209 : ethi-lu                                           -                        ethi-lu                                 Ethiopic                                ETHIOPIC SYLLABLE LU
  1218 : ethi-ma                                           -                        ethi-ma                                 Ethiopic                                ETHIOPIC SYLLABLE MA
  121D : ethi-me                                           -                        ethi-me                                 Ethiopic                                ETHIOPIC SYLLABLE ME
  121A : ethi-mi                                           -                        ethi-mi                                 Ethiopic                                ETHIOPIC SYLLABLE MI
  121E : ethi-mo                                           -                        ethi-mo                                 Ethiopic                                ETHIOPIC SYLLABLE MO
  1219 : ethi-mu                                           -                        ethi-mu                                 Ethiopic                                ETHIOPIC SYLLABLE MU
  1290 : ethi-na                                           -                        ethi-na                                 Ethiopic                                ETHIOPIC SYLLABLE NA
  1295 : ethi-ne                                           -                        ethi-ne                                 Ethiopic                                ETHIOPIC SYLLABLE NE
  1292 : ethi-ni                                           -                        ethi-ni                                 Ethiopic                                ETHIOPIC SYLLABLE NI
  1371 : ethi-nine                                         -                        ethi-nine                               Ethiopic                                ETHIOPIC DIGIT NINE 
  1296 : ethi-no                                           -                        ethi-no                                 Ethiopic                                ETHIOPIC SYLLABLE NO
  1291 : ethi-nu                                           -                        ethi-nu                                 Ethiopic                                ETHIOPIC SYLLABLE NU
  1298 : ethi-nya                                          -                        ethi-nya                                Ethiopic                                ETHIOPIC SYLLABLE NYA
  1369 : ethi-one                                          -                        ethi-one                                Ethiopic                                ETHIOPIC DIGIT ONE  
  1350 : ethi-pa                                           -                        ethi-pa                                 Ethiopic                                ETHIOPIC SYLLABLE PA
  1368 : ethi-paragraphseparator                           -                        ethi-paragraphseparator                 Ethiopic                                ETHIOPIC PARAGRAPH SEPARATOR
  1355 : ethi-pe                                           -                        ethi-pe                                 Ethiopic                                ETHIOPIC SYLLABLE PE
  1330 : ethi-pha                                          -                        ethi-pha                                Ethiopic                                ETHIOPIC SYLLABLE PHA
  1332 : ethi-phi                                          -                        ethi-phi                                Ethiopic                                ETHIOPIC SYLLABLE PHI
  1352 : ethi-pi                                           -                        ethi-pi                                 Ethiopic                                ETHIOPIC SYLLABLE PI
  1356 : ethi-po                                           -                        ethi-po                                 Ethiopic                                ETHIOPIC SYLLABLE PO
  1351 : ethi-pu                                           -                        ethi-pu                                 Ethiopic                                ETHIOPIC SYLLABLE PU
  1240 : ethi-qa                                           -                        ethi-qa                                 Ethiopic                                ETHIOPIC SYLLABLE QA
  1228 : ethi-ra                                           -                        ethi-ra                                 Ethiopic                                ETHIOPIC SYLLABLE RA
  122D : ethi-re                                           -                        ethi-re                                 Ethiopic                                ETHIOPIC SYLLABLE RE
  122A : ethi-ri                                           -                        ethi-ri                                 Ethiopic                                ETHIOPIC SYLLABLE RI
  122E : ethi-ro                                           -                        ethi-ro                                 Ethiopic                                ETHIOPIC SYLLABLE RO
  1229 : ethi-ru                                           -                        ethi-ru                                 Ethiopic                                ETHIOPIC SYLLABLE RU
  1230 : ethi-sa                                           -                        ethi-sa                                 Ethiopic                                ETHIOPIC SYLLABLE SA
  1235 : ethi-se                                           -                        ethi-se                                 Ethiopic                                ETHIOPIC SYLLABLE SE
  1364 : ethi-semicolon                                    -                        ethi-semicolon                          Ethiopic                                ETHIOPIC SEMICOLON  
  136F : ethi-seven                                        -                        ethi-seven                              Ethiopic                                ETHIOPIC DIGIT SEVEN
  1238 : ethi-sha                                          -                        ethi-sha                                Ethiopic                                ETHIOPIC SYLLABLE SHA
  123E : ethi-sho                                          -                        ethi-sho                                Ethiopic                                ETHIOPIC SYLLABLE SHO
  1232 : ethi-si                                           -                        ethi-si                                 Ethiopic                                ETHIOPIC SYLLABLE SI
  136E : ethi-six                                          -                        ethi-six                                Ethiopic                                ETHIOPIC DIGIT SIX  
  1236 : ethi-so                                           -                        ethi-so                                 Ethiopic                                ETHIOPIC SYLLABLE SO
  1231 : ethi-su                                           -                        ethi-su                                 Ethiopic                                ETHIOPIC SYLLABLE SU
  1270 : ethi-ta                                           -                        ethi-ta                                 Ethiopic                                ETHIOPIC SYLLABLE TA
  1275 : ethi-te                                           -                        ethi-te                                 Ethiopic                                ETHIOPIC SYLLABLE TE
  1372 : ethi-ten                                          -                        ethi-ten                                Ethiopic                                ETHIOPIC NUMBER TEN 
  1320 : ethi-tha                                          -                        ethi-tha                                Ethiopic                                ETHIOPIC SYLLABLE THA
  136B : ethi-three                                        -                        ethi-three                              Ethiopic                                ETHIOPIC DIGIT THREE
  1272 : ethi-ti                                           -                        ethi-ti                                 Ethiopic                                ETHIOPIC SYLLABLE TI
  1276 : ethi-to                                           -                        ethi-to                                 Ethiopic                                ETHIOPIC SYLLABLE TO
  1338 : ethi-tsa                                          -                        ethi-tsa                                Ethiopic                                ETHIOPIC SYLLABLE TSA
  133D : ethi-tse                                          -                        ethi-tse                                Ethiopic                                ETHIOPIC SYLLABLE TSE
  1271 : ethi-tu                                           -                        ethi-tu                                 Ethiopic                                ETHIOPIC SYLLABLE TU
  136A : ethi-two                                          -                        ethi-two                                Ethiopic                                ETHIOPIC DIGIT TWO  
  1268 : ethi-va                                           -                        ethi-va                                 Ethiopic                                ETHIOPIC SYLLABLE VA
  126D : ethi-ve                                           -                        ethi-ve                                 Ethiopic                                ETHIOPIC SYLLABLE VE
  126A : ethi-vi                                           -                        ethi-vi                                 Ethiopic                                ETHIOPIC SYLLABLE VI
  126E : ethi-vo                                           -                        ethi-vo                                 Ethiopic                                ETHIOPIC SYLLABLE VO
  1269 : ethi-vu                                           -                        ethi-vu                                 Ethiopic                                ETHIOPIC SYLLABLE VU
  12C8 : ethi-wa                                           -                        ethi-wa                                 Ethiopic                                ETHIOPIC SYLLABLE WA
  12CD : ethi-we                                           -                        ethi-we                                 Ethiopic                                ETHIOPIC SYLLABLE WE
  12CA : ethi-wi                                           -                        ethi-wi                                 Ethiopic                                ETHIOPIC SYLLABLE WI
  12CE : ethi-wo                                           -                        ethi-wo                                 Ethiopic                                ETHIOPIC SYLLABLE WO
  1282 : ethi-xi                                           -                        ethi-xi                                 Ethiopic                                ETHIOPIC SYLLABLE XI
  12E8 : ethi-ya                                           -                        ethi-ya                                 Ethiopic                                ETHIOPIC SYLLABLE YA
  12ED : ethi-ye                                           -                        ethi-ye                                 Ethiopic                                ETHIOPIC SYLLABLE YE
  12EA : ethi-yi                                           -                        ethi-yi                                 Ethiopic                                ETHIOPIC SYLLABLE YI
  12EE : ethi-yo                                           -                        ethi-yo                                 Ethiopic                                ETHIOPIC SYLLABLE YO
  12E9 : ethi-yu                                           -                        ethi-yu                                 Ethiopic                                ETHIOPIC SYLLABLE YU
  12D8 : ethi-za                                           -                        ethi-za                                 Ethiopic                                ETHIOPIC SYLLABLE ZA
  12DD : ethi-ze                                           -                        ethi-ze                                 Ethiopic                                ETHIOPIC SYLLABLE ZE
  12E0 : ethi-zha                                          -                        ethi-zha                                Ethiopic                                ETHIOPIC SYLLABLE ZHA
  12E5 : ethi-zhe                                          -                        ethi-zhe                                Ethiopic                                ETHIOPIC SYLLABLE ZHE
  12E2 : ethi-zhi                                          -                        ethi-zhi                                Ethiopic                                ETHIOPIC SYLLABLE ZHI
  12DA : ethi-zi                                           -                        ethi-zi                                 Ethiopic                                ETHIOPIC SYLLABLE ZI
  12DE : ethi-zo                                           -                        ethi-zo                                 Ethiopic                                ETHIOPIC SYLLABLE ZO
  12D9 : ethi-zu                                           -                        ethi-zu                                 Ethiopic                                ETHIOPIC SYLLABLE ZU

General Punctuation
  2026 : ellipsis                                          ellipsis                 ellipsis                                General Punctuation                     HORIZONTAL ELLIPSIS 
  2014 : emdash                                            emdash                   emdash                                  General Punctuation                     EM DASH             
  2010 : gnrl-hyphen                                       hyphentwo                gnrl-hyphen                             General Punctuation                     HYPHEN              
  203E : overline                                          overline                 overline                                General Punctuation                     OVERLINE            
  2029 : paragraphseparator                                -                        paragraphseparator                      General Punctuation                     PARAGRAPH SEPARATOR 
  2030 : perthousand                                       perthousand              perthousand                             General Punctuation                     PER MILLE SIGN      

Geometric Shapes
  25C6 : gmtr-diamondblack                                 diamondblack             gmtr-diamondblack                       Geometric Shapes                        BLACK DIAMOND       
  25C7 : gmtr-diamondwhite                                 whitediamond             gmtr-diamondwhite                       Geometric Shapes                        WHITE DIAMOND       

Greek Extended
  1FFD : gr-acute                                          oxia                     gr-acute                                Greek Extended                          GREEK OXIA          
  1FEF : gr-grave                                          varia                    gr-grave                                Greek Extended                          GREEK VARIA         
  1FC0 : gr-tilde                                          perispomeni              gr-tilde                                Greek Extended                          GREEK PERISPOMENI   

Greek and Coptic
   3DE : Koppa                                             Koppagreek               Koppa                                   Greek and Coptic                        GREEK LETTER KOPPA  
   3A9 : Omega                                             Omega                    Omega                                   Greek and Coptic                        GREEK CAPITAL LETTER OMEGA
   3A8 : Psi                                               Psi                      Psi                                     Greek and Coptic                        GREEK CAPITAL LETTER PSI
   3B1 : alpha                                             alpha                    alpha                                   Greek and Coptic                        GREEK SMALL LETTER ALPHA
   3C7 : chi                                               chi                      chi                                     Greek and Coptic                        GREEK SMALL LETTER CHI
   3B3 : gamma                                             gamma                    gamma                                   Greek and Coptic                        GREEK SMALL LETTER GAMMA
   3B9 : iota                                              iota                     iota                                    Greek and Coptic                        GREEK SMALL LETTER IOTA
   37A : gr-iotasubscript                                  iotasubscript            gr-iotasubscript                        Greek and Coptic                        GREEK YPOGEGRAMMENI 
   3DF : koppa                                             -                        koppa                                   Greek and Coptic                        GREEK SMALL LETTER KOPPA
   3BC : gr-mu                                             mu                       gr-mu                                   Greek and Coptic                        GREEK SMALL LETTER MU
   3BD : gr-nu                                             nu                       gr-nu                                   Greek and Coptic                        GREEK SMALL LETTER NU
   3C9 : omega                                             omega                    omega                                   Greek and Coptic                        GREEK SMALL LETTER OMEGA
   3C6 : phi                                               phi                      phi                                     Greek and Coptic                        GREEK SMALL LETTER PHI
   3C0 : gr-pi                                             pi                       gr-pi                                   Greek and Coptic                        GREEK SMALL LETTER PI
   3C8 : psi                                               psi                      psi                                     Greek and Coptic                        GREEK SMALL LETTER PSI
   37E : gr-question                                       questiongreek            gr-question                             Greek and Coptic                        GREEK QUESTION MARK 
   3F8 : gr-sho                                            -                        gr-sho                                  Greek and Coptic                        GREEK SMALL LETTER SHO
   3C5 : upsilon                                           upsilon                  upsilon                                 Greek and Coptic                        GREEK SMALL LETTER UPSILON
   3BE : gr-xi                                             xi                       gr-xi                                   Greek and Coptic                        GREEK SMALL LETTER XI

Gujarati
   A85 : gujr-a                                            gjA                      gujr-a                                  Gujarati                                GUJARATI LETTER A   
   A86 : gujr-aa                                           gjAa                     gujr-aa                                 Gujarati                                GUJARATI LETTER AA  
   ABE : gujr-aasign                                       gjAasign                 gujr-aasign                             Gujarati                                GUJARATI VOWEL SIGN AA
   A90 : gujr-ai                                           gjAi                     gujr-ai                                 Gujarati                                GUJARATI LETTER AI  
   AC8 : gujr-aisign                                       gjAisign                 gujr-aisign                             Gujarati                                GUJARATI VOWEL SIGN AI
   A82 : gujr-anusvara                                     gjAnusvara               gujr-anusvara                           Gujarati                                GUJARATI SIGN ANUSVARA
   A94 : gujr-au                                           gjAu                     gujr-au                                 Gujarati                                GUJARATI LETTER AU  
   ACC : gujr-ausign                                       gjAusign                 gujr-ausign                             Gujarati                                GUJARATI VOWEL SIGN AU
   ABD : gujr-avagraha                                     gjAvagraha               gujr-avagraha                           Gujarati                                GUJARATI SIGN AVAGRAHA
   AAC : gujr-ba                                           gjBa                     gujr-ba                                 Gujarati                                GUJARATI LETTER BA  
   AAD : gujr-bha                                          gjBha                    gujr-bha                                Gujarati                                GUJARATI LETTER BHA 
   A9A : gujr-ca                                           gjCa                     gujr-ca                                 Gujarati                                GUJARATI LETTER CA  
   A9B : gujr-cha                                          gjCha                    gujr-cha                                Gujarati                                GUJARATI LETTER CHA 
   AA6 : gujr-da                                           gjDa                     gujr-da                                 Gujarati                                GUJARATI LETTER DA  
   AA1 : gujr-dda                                          gjDda                    gujr-dda                                Gujarati                                GUJARATI LETTER DDA 
   AA2 : gujr-ddha                                         gjDdha                   gujr-ddha                               Gujarati                                GUJARATI LETTER DDHA
   AA7 : gujr-dha                                          gjDha                    gujr-dha                                Gujarati                                GUJARATI LETTER DHA 
   A8F : gujr-e                                            gjE                      gujr-e                                  Gujarati                                GUJARATI LETTER E   
   A8D : gujr-ecandra                                      gjEcandra                gujr-ecandra                            Gujarati                                GUJARATI VOWEL CANDRA E
   AEE : gujr-eight                                        gjEight                  gujr-eight                              Gujarati                                GUJARATI DIGIT EIGHT
   AC7 : gujr-esign                                        gjEsign                  gujr-esign                              Gujarati                                GUJARATI VOWEL SIGN E
   AC5 : gujr-esigncandra                                  gjEcandrasign            gujr-esigncandra                        Gujarati                                GUJARATI VOWEL SIGN CANDRA E
   AEB : gujr-five                                         gjFive                   gujr-five                               Gujarati                                GUJARATI DIGIT FIVE 
   AEA : gujr-four                                         gjFour                   gujr-four                               Gujarati                                GUJARATI DIGIT FOUR 
   A97 : gujr-ga                                           gjGa                     gujr-ga                                 Gujarati                                GUJARATI LETTER GA  
   A98 : gujr-gha                                          gjGha                    gujr-gha                                Gujarati                                GUJARATI LETTER GHA 
   AB9 : gujr-ha                                           gjHa                     gujr-ha                                 Gujarati                                GUJARATI LETTER HA  
   A87 : gujr-i                                            gjI                      gujr-i                                  Gujarati                                GUJARATI LETTER I   
   A88 : gujr-ii                                           gjIi                     gujr-ii                                 Gujarati                                GUJARATI LETTER II  
   AC0 : gujr-iisign                                       gjIisign                 gujr-iisign                             Gujarati                                GUJARATI VOWEL SIGN II
   ABF : gujr-isign                                        gjIsign                  gujr-isign                              Gujarati                                GUJARATI VOWEL SIGN I
   A9C : gujr-ja                                           gjJa                     gujr-ja                                 Gujarati                                GUJARATI LETTER JA  
   A9D : gujr-jha                                          gjJha                    gujr-jha                                Gujarati                                GUJARATI LETTER JHA 
   A95 : gujr-ka                                           gjKa                     gujr-ka                                 Gujarati                                GUJARATI LETTER KA  
   A96 : gujr-kha                                          gjKha                    gujr-kha                                Gujarati                                GUJARATI LETTER KHA 
   AB2 : gujr-la                                           gjLa                     gujr-la                                 Gujarati                                GUJARATI LETTER LA  
   AB3 : gujr-lla                                          gjLla                    gujr-lla                                Gujarati                                GUJARATI LETTER LLA 
   AE1 : gujr-llvocal                                      gjLlvocal                gujr-llvocal                            Gujarati                                GUJARATI LETTER VOCALIC LL
   AE3 : gujr-llvocalsign                                  gjLlvocalsign            gujr-llvocalsign                        Gujarati                                GUJARATI VOWEL SIGN VOCALIC LL
   A8C : gujr-lvocal                                       gjLvocal                 gujr-lvocal                             Gujarati                                GUJARATI LETTER VOCALIC L
   AE2 : gujr-lvocalsign                                   gjLvocalsign             gujr-lvocalsign                         Gujarati                                GUJARATI VOWEL SIGN VOCALIC L
   AAE : gujr-ma                                           gjMa                     gujr-ma                                 Gujarati                                GUJARATI LETTER MA  
   AA8 : gujr-na                                           gjNa                     gujr-na                                 Gujarati                                GUJARATI LETTER NA  
   A99 : gujr-nga                                          gjNga                    gujr-nga                                Gujarati                                GUJARATI LETTER NGA 
   AEF : gujr-nine                                         gjNine                   gujr-nine                               Gujarati                                GUJARATI DIGIT NINE 
   AA3 : gujr-nna                                          gjNna                    gujr-nna                                Gujarati                                GUJARATI LETTER NNA 
   ABC : gujr-nukta                                        gjNukta                  gujr-nukta                              Gujarati                                GUJARATI SIGN NUKTA 
   A9E : gujr-nya                                          gjNya                    gujr-nya                                Gujarati                                GUJARATI LETTER NYA 
   A93 : gujr-o                                            gjO                      gujr-o                                  Gujarati                                GUJARATI LETTER O   
   A91 : gujr-ocandra                                      gjOcandra                gujr-ocandra                            Gujarati                                GUJARATI VOWEL CANDRA O
