   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
  FF36 : fwd-V                                             Vfullwidth               fwd-V                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER V

    57 : W                                                 W                        W                                       Basic Latin                             LATIN CAPITAL LETTER W
  FF37 : fwd-W                                             Wfullwidth               fwd-W                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER W

    58 : X                                                 X                        X                                       Basic Latin                             LATIN CAPITAL LETTER X
  FF38 : fwd-X                                             Xfullwidth               fwd-X                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER X

    59 : Y                                                 Y                        Y                                       Basic Latin                             LATIN CAPITAL LETTER Y
  FF39 : fwd-Y                                             Yfullwidth               fwd-Y                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER Y

    5A : Z                                                 Z                        Z                                       Basic Latin                             LATIN CAPITAL LETTER Z
  FF3A : fwd-Z                                             Zfullwidth               fwd-Z                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN CAPITAL LETTER Z

   417 : Zecyr                                             Ze                       Zecyr                                   Cyrillic                                CYRILLIC CAPITAL LETTER ZE
   510 : Zecyr                                             -                        Zecyr                                   Cyrillic Supplement                     CYRILLIC CAPITAL LETTER REVERSED ZE

   416 : Zhecyr                                            Zhe                      Zhecyr                                  Cyrillic                                CYRILLIC CAPITAL LETTER ZHE
   53A : armn-Zhe                                          Zhearmenian              armn-Zhe                                Armenian                                ARMENIAN CAPITAL LETTER ZHE

    61 : a                                                 a                        a                                       Basic Latin                             LATIN SMALL LETTER A
   363 : cmb-a                                             acmb                     cmb-a                                   Combining Diacritical Marks             COMBINING LATIN SMALL LETTER A
   430 : acyr                                              acyr                     acyr                                    Cyrillic                                CYRILLIC SMALL LETTER A
   905 : deva-a                                            dvA                      deva-a                                  Devanagari                              DEVANAGARI LETTER A 
   985 : beng-a                                            beA                      beng-a                                  Bengali                                 BENGALI LETTER A    
   A05 : guru-a                                            guA                      guru-a                                  Gurmukhi                                GURMUKHI LETTER A   
   A85 : gujr-a                                            gjA                      gujr-a                                  Gujarati                                GUJARATI LETTER A   
   B05 : orya-a                                            odA                      orya-a                                  Oriya                                   ORIYA LETTER A      
   B85 : taml-a                                            taA                      taml-a                                  Tamil                                   TAMIL LETTER A      
   C05 : telu-a                                            teA                      telu-a                                  Telugu                                  TELUGU LETTER A     
