# Braille Patterns 2800 - 28FF
28B0	braillepatterndots568	BRAILLE PATTERN DOTS-568
28B1	braillepatterndots1568	BRAILLE PATTERN DOTS-1568
28B2	braillepatterndots2568	BRAILLE PATTERN DOTS-2568
28B3	braillepatterndots12568	BRAILLE PATTERN DOTS-12568
28B4	braillepatterndots3568	BRAILLE PATTERN DOTS-3568
28B5	braillepatterndots13568	BRAILLE PATTERN DOTS-13568
28B6	braillepatterndots23568	BRAILLE PATTERN DOTS-23568
28B7	braillepatterndots123568	BRAILLE PATTERN DOTS-123568
28B8	braillepatterndots4568	BRAILLE PATTERN DOTS-4568
28B9	braillepatterndots14568	BRAILLE PATTERN DOTS-14568
28BA	braillepatterndots24568	BRAILLE PATTERN DOTS-24568
28BB	braillepatterndots124568	BRAILLE PATTERN DOTS-124568
28BC	braillepatterndots34568	BRAILLE PATTERN DOTS-34568
28BD	braillepatterndots134568	BRAILLE PATTERN DOTS-134568
28BE	braillepatterndots234568	BRAILLE PATTERN DOTS-234568
28BF	braillepatterndots1234568	BRAILLE PATTERN DOTS-1234568
28C0	braillepatterndots78	BRAILLE PATTERN DOTS-78
28C1	braillepatterndots178	BRAILLE PATTERN DOTS-178
28C2	braillepatterndots278	BRAILLE PATTERN DOTS-278
28C3	braillepatterndots1278	BRAILLE PATTERN DOTS-1278
28C4	braillepatterndots378	BRAILLE PATTERN DOTS-378
28C5	braillepatterndots1378	BRAILLE PATTERN DOTS-1378
28C6	braillepatterndots2378	BRAILLE PATTERN DOTS-2378
28C7	braillepatterndots12378	BRAILLE PATTERN DOTS-12378
28C8	braillepatterndots478	BRAILLE PATTERN DOTS-478
28C9	braillepatterndots1478	BRAILLE PATTERN DOTS-1478
28CA	braillepatterndots2478	BRAILLE PATTERN DOTS-2478
28CB	braillepatterndots12478	BRAILLE PATTERN DOTS-12478
28CC	braillepatterndots3478	BRAILLE PATTERN DOTS-3478
28CD	braillepatterndots13478	BRAILLE PATTERN DOTS-13478
28CE	braillepatterndots23478	BRAILLE PATTERN DOTS-23478
28CF	braillepatterndots123478	BRAILLE PATTERN DOTS-123478
28D0	braillepatterndots578	BRAILLE PATTERN DOTS-578
28D1	braillepatterndots1578	BRAILLE PATTERN DOTS-1578
28D2	braillepatterndots2578	BRAILLE PATTERN DOTS-2578
28D3	braillepatterndots12578	BRAILLE PATTERN DOTS-12578
28D4	braillepatterndots3578	BRAILLE PATTERN DOTS-3578
28D5	braillepatterndots13578	BRAILLE PATTERN DOTS-13578
28D6	braillepatterndots23578	BRAILLE PATTERN DOTS-23578
28D7	braillepatterndots123578	BRAILLE PATTERN DOTS-123578
28D8	braillepatterndots4578	BRAILLE PATTERN DOTS-4578
28D9	braillepatterndots14578	BRAILLE PATTERN DOTS-14578
28DA	braillepatterndots24578	BRAILLE PATTERN DOTS-24578
28DB	braillepatterndots124578	BRAILLE PATTERN DOTS-124578
28DC	braillepatterndots34578	BRAILLE PATTERN DOTS-34578
