# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D400	mathematicalboldcapitala	MATHEMATICAL BOLD CAPITAL A
1D41C	mathematicalboldsmallc	MATHEMATICAL BOLD SMALL C
1D41D	mathematicalboldsmalld	MATHEMATICAL BOLD SMALL D
1D41E	mathematicalboldsmalle	MATHEMATICAL BOLD SMALL E
1D41F	mathematicalboldsmallf	MATHEMATICAL BOLD SMALL F
1D420	mathematicalboldsmallg	MATHEMATICAL BOLD SMALL G
1D421	mathematicalboldsmallh	MATHEMATICAL BOLD SMALL H
1D422	mathematicalboldsmalli	MATHEMATICAL BOLD SMALL I
1D423	mathematicalboldsmallj	MATHEMATICAL BOLD SMALL J
1D424	mathematicalboldsmallk	MATHEMATICAL BOLD SMALL K
1D425	mathematicalboldsmalll	MATHEMATICAL BOLD SMALL L
1D426	mathematicalboldsmallm	MATHEMATICAL BOLD SMALL M
1D427	mathematicalboldsmalln	MATHEMATICAL BOLD SMALL N
1D428	mathematicalboldsmallo	MATHEMATICAL BOLD SMALL O
1D429	mathematicalboldsmallp	MATHEMATICAL BOLD SMALL P
1D42A	mathematicalboldsmallq	MATHEMATICAL BOLD SMALL Q
1D42B	mathematicalboldsmallr	MATHEMATICAL BOLD SMALL R
1D42C	mathematicalboldsmalls	MATHEMATICAL BOLD SMALL S
1D42D	mathematicalboldsmallt	MATHEMATICAL BOLD SMALL T
1D42E	mathematicalboldsmallu	MATHEMATICAL BOLD SMALL U
1D42F	mathematicalboldsmallv	MATHEMATICAL BOLD SMALL V
1D430	mathematicalboldsmallw	MATHEMATICAL BOLD SMALL W
1D431	mathematicalboldsmallx	MATHEMATICAL BOLD SMALL X
1D432	mathematicalboldsmally	MATHEMATICAL BOLD SMALL Y
1D433	mathematicalboldsmallz	MATHEMATICAL BOLD SMALL Z
1D434	mathematicalitaliccapitala	MATHEMATICAL ITALIC CAPITAL A
1D435	mathematicalitaliccapitalb	MATHEMATICAL ITALIC CAPITAL B
1D436	mathematicalitaliccapitalc	MATHEMATICAL ITALIC CAPITAL C
1D437	mathematicalitaliccapitald	MATHEMATICAL ITALIC CAPITAL D
1D438	mathematicalitaliccapitale	MATHEMATICAL ITALIC CAPITAL E
1D439	mathematicalitaliccapitalf	MATHEMATICAL ITALIC CAPITAL F
1D43A	mathematicalitaliccapitalg	MATHEMATICAL ITALIC CAPITAL G
1D43B	mathematicalitaliccapitalh	MATHEMATICAL ITALIC CAPITAL H
1D43C	mathematicalitaliccapitali	MATHEMATICAL ITALIC CAPITAL I
1D43D	mathematicalitaliccapitalj	MATHEMATICAL ITALIC CAPITAL J
1D43E	mathematicalitaliccapitalk	MATHEMATICAL ITALIC CAPITAL K
1D43F	mathematicalitaliccapitall	MATHEMATICAL ITALIC CAPITAL L
1D440	mathematicalitaliccapitalm	MATHEMATICAL ITALIC CAPITAL M
1D441	mathematicalitaliccapitaln	MATHEMATICAL ITALIC CAPITAL N
1D442	mathematicalitaliccapitalo	MATHEMATICAL ITALIC CAPITAL O
1D443	mathematicalitaliccapitalp	MATHEMATICAL ITALIC CAPITAL P
1D444	mathematicalitaliccapitalq	MATHEMATICAL ITALIC CAPITAL Q
1D445	mathematicalitaliccapitalr	MATHEMATICAL ITALIC CAPITAL R
1D446	mathematicalitaliccapitals	MATHEMATICAL ITALIC CAPITAL S
1D447	mathematicalitaliccapitalt	MATHEMATICAL ITALIC CAPITAL T
1D448	mathematicalitaliccapitalu	MATHEMATICAL ITALIC CAPITAL U
1D449	mathematicalitaliccapitalv	MATHEMATICAL ITALIC CAPITAL V
1D44A	mathematicalitaliccapitalw	MATHEMATICAL ITALIC CAPITAL W
1D44B	mathematicalitaliccapitalx	MATHEMATICAL ITALIC CAPITAL X
1D44C	mathematicalitaliccapitaly	MATHEMATICAL ITALIC CAPITAL Y
1D44D	mathematicalitaliccapitalz	MATHEMATICAL ITALIC CAPITAL Z
1D44E	mathematicalitalicsmalla	MATHEMATICAL ITALIC SMALL A
1D44F	mathematicalitalicsmallb	MATHEMATICAL ITALIC SMALL B
1D450	mathematicalitalicsmallc	MATHEMATICAL ITALIC SMALL C
1D451	mathematicalitalicsmalld	MATHEMATICAL ITALIC SMALL D
1D452	mathematicalitalicsmalle	MATHEMATICAL ITALIC SMALL E
1D453	mathematicalitalicsmallf	MATHEMATICAL ITALIC SMALL F
1D454	mathematicalitalicsmallg	MATHEMATICAL ITALIC SMALL G
1D456	mathematicalitalicsmalli	MATHEMATICAL ITALIC SMALL I
1D457	mathematicalitalicsmallj	MATHEMATICAL ITALIC SMALL J
1D458	mathematicalitalicsmallk	MATHEMATICAL ITALIC SMALL K
1D459	mathematicalitalicsmalll	MATHEMATICAL ITALIC SMALL L
1D45A	mathematicalitalicsmallm	MATHEMATICAL ITALIC SMALL M
1D45B	mathematicalitalicsmalln	MATHEMATICAL ITALIC SMALL N
1D45C	mathematicalitalicsmallo	MATHEMATICAL ITALIC SMALL O
1D45D	mathematicalitalicsmallp	MATHEMATICAL ITALIC SMALL P
1D45E	mathematicalitalicsmallq	MATHEMATICAL ITALIC SMALL Q
1D45F	mathematicalitalicsmallr	MATHEMATICAL ITALIC SMALL R
1D460	mathematicalitalicsmalls	MATHEMATICAL ITALIC SMALL S
1D461	mathematicalitalicsmallt	MATHEMATICAL ITALIC SMALL T
1D462	mathematicalitalicsmallu	MATHEMATICAL ITALIC SMALL U
1D463	mathematicalitalicsmallv	MATHEMATICAL ITALIC SMALL V
1D464	mathematicalitalicsmallw	MATHEMATICAL ITALIC SMALL W
1D465	mathematicalitalicsmallx	MATHEMATICAL ITALIC SMALL X
1D466	mathematicalitalicsmally	MATHEMATICAL ITALIC SMALL Y
1D467	mathematicalitalicsmallz	MATHEMATICAL ITALIC SMALL Z
1D468	mathematicalbolditaliccapitala	MATHEMATICAL BOLD ITALIC CAPITAL A
1D469	mathematicalbolditaliccapitalb	MATHEMATICAL BOLD ITALIC CAPITAL B
1D46A	mathematicalbolditaliccapitalc	MATHEMATICAL BOLD ITALIC CAPITAL C
1D46B	mathematicalbolditaliccapitald	MATHEMATICAL BOLD ITALIC CAPITAL D
1D46C	mathematicalbolditaliccapitale	MATHEMATICAL BOLD ITALIC CAPITAL E
1D46D	mathematicalbolditaliccapitalf	MATHEMATICAL BOLD ITALIC CAPITAL F
1D46E	mathematicalbolditaliccapitalg	MATHEMATICAL BOLD ITALIC CAPITAL G
1D46F	mathematicalbolditaliccapitalh	MATHEMATICAL BOLD ITALIC CAPITAL H
1D470	mathematicalbolditaliccapitali	MATHEMATICAL BOLD ITALIC CAPITAL I
1D471	mathematicalbolditaliccapitalj	MATHEMATICAL BOLD ITALIC CAPITAL J
1D472	mathematicalbolditaliccapitalk	MATHEMATICAL BOLD ITALIC CAPITAL K
1D473	mathematicalbolditaliccapitall	MATHEMATICAL BOLD ITALIC CAPITAL L
1D474	mathematicalbolditaliccapitalm	MATHEMATICAL BOLD ITALIC CAPITAL M
1D475	mathematicalbolditaliccapitaln	MATHEMATICAL BOLD ITALIC CAPITAL N
1D476	mathematicalbolditaliccapitalo	MATHEMATICAL BOLD ITALIC CAPITAL O
1D477	mathematicalbolditaliccapitalp	MATHEMATICAL BOLD ITALIC CAPITAL P
1D478	mathematicalbolditaliccapitalq	MATHEMATICAL BOLD ITALIC CAPITAL Q
1D479	mathematicalbolditaliccapitalr	MATHEMATICAL BOLD ITALIC CAPITAL R
1D47A	mathematicalbolditaliccapitals	MATHEMATICAL BOLD ITALIC CAPITAL S
1D47B	mathematicalbolditaliccapitalt	MATHEMATICAL BOLD ITALIC CAPITAL T
1D47C	mathematicalbolditaliccapitalu	MATHEMATICAL BOLD ITALIC CAPITAL U
1D47D	mathematicalbolditaliccapitalv	MATHEMATICAL BOLD ITALIC CAPITAL V
1D47E	mathematicalbolditaliccapitalw	MATHEMATICAL BOLD ITALIC CAPITAL W
1D47F	mathematicalbolditaliccapitalx	MATHEMATICAL BOLD ITALIC CAPITAL X
1D480	mathematicalbolditaliccapitaly	MATHEMATICAL BOLD ITALIC CAPITAL Y
1D481	mathematicalbolditaliccapitalz	MATHEMATICAL BOLD ITALIC CAPITAL Z
1D482	mathematicalbolditalicsmalla	MATHEMATICAL BOLD ITALIC SMALL A
1D483	mathematicalbolditalicsmallb	MATHEMATICAL BOLD ITALIC SMALL B
1D484	mathematicalbolditalicsmallc	MATHEMATICAL BOLD ITALIC SMALL C
1D485	mathematicalbolditalicsmalld	MATHEMATICAL BOLD ITALIC SMALL D
1D486	mathematicalbolditalicsmalle	MATHEMATICAL BOLD ITALIC SMALL E
1D487	mathematicalbolditalicsmallf	MATHEMATICAL BOLD ITALIC SMALL F
1D488	mathematicalbolditalicsmallg	MATHEMATICAL BOLD ITALIC SMALL G
1D489	mathematicalbolditalicsmallh	MATHEMATICAL BOLD ITALIC SMALL H
1D48A	mathematicalbolditalicsmalli	MATHEMATICAL BOLD ITALIC SMALL I
1D48B	mathematicalbolditalicsmallj	MATHEMATICAL BOLD ITALIC SMALL J
1D48C	mathematicalbolditalicsmallk	MATHEMATICAL BOLD ITALIC SMALL K
1D48D	mathematicalbolditalicsmalll	MATHEMATICAL BOLD ITALIC SMALL L
1D48E	mathematicalbolditalicsmallm	MATHEMATICAL BOLD ITALIC SMALL M
1D48F	mathematicalbolditalicsmalln	MATHEMATICAL BOLD ITALIC SMALL N
1D490	mathematicalbolditalicsmallo	MATHEMATICAL BOLD ITALIC SMALL O
1D491	mathematicalbolditalicsmallp	MATHEMATICAL BOLD ITALIC SMALL P
1D492	mathematicalbolditalicsmallq	MATHEMATICAL BOLD ITALIC SMALL Q
1D493	mathematicalbolditalicsmallr	MATHEMATICAL BOLD ITALIC SMALL R
1D494	mathematicalbolditalicsmalls	MATHEMATICAL BOLD ITALIC SMALL S
1D495	mathematicalbolditalicsmallt	MATHEMATICAL BOLD ITALIC SMALL T
1D496	mathematicalbolditalicsmallu	MATHEMATICAL BOLD ITALIC SMALL U
