# CJK Unified Ideographs Extension A 3400 - 4DBF
34CB	cjkunifiedideograph34cb	CJK UNIFIED IDEOGRAPH-34CB
34CC	cjkunifiedideograph34cc	CJK UNIFIED IDEOGRAPH-34CC
34CD	cjkunifiedideograph34cd	CJK UNIFIED IDEOGRAPH-34CD
34CE	cjkunifiedideograph34ce	CJK UNIFIED IDEOGRAPH-34CE
34CF	cjkunifiedideograph34cf	CJK UNIFIED IDEOGRAPH-34CF
34D0	cjkunifiedideograph34d0	CJK UNIFIED IDEOGRAPH-34D0
34D1	cjkunifiedideograph34d1	CJK UNIFIED IDEOGRAPH-34D1
34D2	cjkunifiedideograph34d2	CJK UNIFIED IDEOGRAPH-34D2
34D3	cjkunifiedideograph34d3	CJK UNIFIED IDEOGRAPH-34D3
34D4	cjkunifiedideograph34d4	CJK UNIFIED IDEOGRAPH-34D4
34D5	cjkunifiedideograph34d5	CJK UNIFIED IDEOGRAPH-34D5
34D6	cjkunifiedideograph34d6	CJK UNIFIED IDEOGRAPH-34D6
34D7	cjkunifiedideograph34d7	CJK UNIFIED IDEOGRAPH-34D7
34D8	cjkunifiedideograph34d8	CJK UNIFIED IDEOGRAPH-34D8
34D9	cjkunifiedideograph34d9	CJK UNIFIED IDEOGRAPH-34D9
34DA	cjkunifiedideograph34da	CJK UNIFIED IDEOGRAPH-34DA
34DB	cjkunifiedideograph34db	CJK UNIFIED IDEOGRAPH-34DB
34DC	cjkunifiedideograph34dc	CJK UNIFIED IDEOGRAPH-34DC
34DD	cjkunifiedideograph34dd	CJK UNIFIED IDEOGRAPH-34DD
34DE	cjkunifiedideograph34de	CJK UNIFIED IDEOGRAPH-34DE
34DF	cjkunifiedideograph34df	CJK UNIFIED IDEOGRAPH-34DF
34E0	cjkunifiedideograph34e0	CJK UNIFIED IDEOGRAPH-34E0
34E1	cjkunifiedideograph34e1	CJK UNIFIED IDEOGRAPH-34E1
34E2	cjkunifiedideograph34e2	CJK UNIFIED IDEOGRAPH-34E2
34E3	cjkunifiedideograph34e3	CJK UNIFIED IDEOGRAPH-34E3
34E4	cjkunifiedideograph34e4	CJK UNIFIED IDEOGRAPH-34E4
34E5	cjkunifiedideograph34e5	CJK UNIFIED IDEOGRAPH-34E5
34E6	cjkunifiedideograph34e6	CJK UNIFIED IDEOGRAPH-34E6
34E7	cjkunifiedideograph34e7	CJK UNIFIED IDEOGRAPH-34E7
34E8	cjkunifiedideograph34e8	CJK UNIFIED IDEOGRAPH-34E8
34E9	cjkunifiedideograph34e9	CJK UNIFIED IDEOGRAPH-34E9
34EA	cjkunifiedideograph34ea	CJK UNIFIED IDEOGRAPH-34EA
34EB	cjkunifiedideograph34eb	CJK UNIFIED IDEOGRAPH-34EB
