# Yi Syllables A000 - A48F
A000	yisyllableit	YI SYLLABLE IT
A065	yisyllablebbot	YI SYLLABLE BBOT
A066	yisyllablebbox	YI SYLLABLE BBOX
A067	yisyllablebbo	YI SYLLABLE BBO
A068	yisyllablebbop	YI SYLLABLE BBOP
A069	yisyllablebbex	YI SYLLABLE BBEX
A06A	yisyllablebbe	YI SYLLABLE BBE
A06B	yisyllablebbep	YI SYLLABLE BBEP
A06C	yisyllablebbut	YI SYLLABLE BBUT
A06D	yisyllablebbux	YI SYLLABLE BBUX
A06E	yisyllablebbu	YI SYLLABLE BBU
A06F	yisyllablebbup	YI SYLLABLE BBUP
A070	yisyllablebburx	YI SYLLABLE BBURX
A071	yisyllablebbur	YI SYLLABLE BBUR
A072	yisyllablebbyt	YI SYLLABLE BBYT
A073	yisyllablebbyx	YI SYLLABLE BBYX
A074	yisyllablebby	YI SYLLABLE BBY
A075	yisyllablebbyp	YI SYLLABLE BBYP
A076	yisyllablenbit	YI SYLLABLE NBIT
A077	yisyllablenbix	YI SYLLABLE NBIX
A078	yisyllablenbi	YI SYLLABLE NBI
A079	yisyllablenbip	YI SYLLABLE NBIP
A07A	yisyllablenbiex	YI SYLLABLE NBIEX
A07B	yisyllablenbie	YI SYLLABLE NBIE
A07C	yisyllablenbiep	YI SYLLABLE NBIEP
A07D	yisyllablenbat	YI SYLLABLE NBAT
A07E	yisyllablenbax	YI SYLLABLE NBAX
A07F	yisyllablenba	YI SYLLABLE NBA
A080	yisyllablenbap	YI SYLLABLE NBAP
A081	yisyllablenbot	YI SYLLABLE NBOT
A082	yisyllablenbox	YI SYLLABLE NBOX
A083	yisyllablenbo	YI SYLLABLE NBO
A084	yisyllablenbop	YI SYLLABLE NBOP
A085	yisyllablenbut	YI SYLLABLE NBUT
A086	yisyllablenbux	YI SYLLABLE NBUX
A087	yisyllablenbu	YI SYLLABLE NBU
A088	yisyllablenbup	YI SYLLABLE NBUP
A089	yisyllablenburx	YI SYLLABLE NBURX
A08A	yisyllablenbur	YI SYLLABLE NBUR
A08B	yisyllablenbyt	YI SYLLABLE NBYT
A08C	yisyllablenbyx	YI SYLLABLE NBYX
A08D	yisyllablenby	YI SYLLABLE NBY
A08E	yisyllablenbyp	YI SYLLABLE NBYP
A08F	yisyllablenbyrx	YI SYLLABLE NBYRX
A090	yisyllablenbyr	YI SYLLABLE NBYR
A091	yisyllablehmit	YI SYLLABLE HMIT
A092	yisyllablehmix	YI SYLLABLE HMIX
A093	yisyllablehmi	YI SYLLABLE HMI
A094	yisyllablehmip	YI SYLLABLE HMIP
A095	yisyllablehmiex	YI SYLLABLE HMIEX
A096	yisyllablehmie	YI SYLLABLE HMIE
A097	yisyllablehmiep	YI SYLLABLE HMIEP
A098	yisyllablehmat	YI SYLLABLE HMAT
A099	yisyllablehmax	YI SYLLABLE HMAX
A09A	yisyllablehma	YI SYLLABLE HMA
A09B	yisyllablehmap	YI SYLLABLE HMAP
A09C	yisyllablehmuox	YI SYLLABLE HMUOX
A09D	yisyllablehmuo	YI SYLLABLE HMUO
A09E	yisyllablehmuop	YI SYLLABLE HMUOP
A09F	yisyllablehmot	YI SYLLABLE HMOT
