# CJK Compatibility Ideographs F900 - FAFF
F973	cjkcompatibilityideographf973	CJK COMPATIBILITY IDEOGRAPH-F973
F974	cjkcompatibilityideographf974	CJK COMPATIBILITY IDEOGRAPH-F974
F975	cjkcompatibilityideographf975	CJK COMPATIBILITY IDEOGRAPH-F975
F976	cjkcompatibilityideographf976	CJK COMPATIBILITY IDEOGRAPH-F976
F977	cjkcompatibilityideographf977	CJK COMPATIBILITY IDEOGRAPH-F977
F978	cjkcompatibilityideographf978	CJK COMPATIBILITY IDEOGRAPH-F978
F979	cjkcompatibilityideographf979	CJK COMPATIBILITY IDEOGRAPH-F979
F97A	cjkcompatibilityideographf97a	CJK COMPATIBILITY IDEOGRAPH-F97A
F97B	cjkcompatibilityideographf97b	CJK COMPATIBILITY IDEOGRAPH-F97B
F97C	cjkcompatibilityideographf97c	CJK COMPATIBILITY IDEOGRAPH-F97C
F97D	cjkcompatibilityideographf97d	CJK COMPATIBILITY IDEOGRAPH-F97D
F97E	cjkcompatibilityideographf97e	CJK COMPATIBILITY IDEOGRAPH-F97E
F97F	cjkcompatibilityideographf97f	CJK COMPATIBILITY IDEOGRAPH-F97F
F980	cjkcompatibilityideographf980	CJK COMPATIBILITY IDEOGRAPH-F980
F981	cjkcompatibilityideographf981	CJK COMPATIBILITY IDEOGRAPH-F981
F982	cjkcompatibilityideographf982	CJK COMPATIBILITY IDEOGRAPH-F982
F983	cjkcompatibilityideographf983	CJK COMPATIBILITY IDEOGRAPH-F983
F984	cjkcompatibilityideographf984	CJK COMPATIBILITY IDEOGRAPH-F984
F985	cjkcompatibilityideographf985	CJK COMPATIBILITY IDEOGRAPH-F985
F986	cjkcompatibilityideographf986	CJK COMPATIBILITY IDEOGRAPH-F986
F987	cjkcompatibilityideographf987	CJK COMPATIBILITY IDEOGRAPH-F987
F988	cjkcompatibilityideographf988	CJK COMPATIBILITY IDEOGRAPH-F988
F989	cjkcompatibilityideographf989	CJK COMPATIBILITY IDEOGRAPH-F989
F98A	cjkcompatibilityideographf98a	CJK COMPATIBILITY IDEOGRAPH-F98A
F98B	cjkcompatibilityideographf98b	CJK COMPATIBILITY IDEOGRAPH-F98B
F98C	cjkcompatibilityideographf98c	CJK COMPATIBILITY IDEOGRAPH-F98C
F98D	cjkcompatibilityideographf98d	CJK COMPATIBILITY IDEOGRAPH-F98D
F98E	cjkcompatibilityideographf98e	CJK COMPATIBILITY IDEOGRAPH-F98E
F98F	cjkcompatibilityideographf98f	CJK COMPATIBILITY IDEOGRAPH-F98F
F990	cjkcompatibilityideographf990	CJK COMPATIBILITY IDEOGRAPH-F990
F991	cjkcompatibilityideographf991	CJK COMPATIBILITY IDEOGRAPH-F991
F992	cjkcompatibilityideographf992	CJK COMPATIBILITY IDEOGRAPH-F992
F993	cjkcompatibilityideographf993	CJK COMPATIBILITY IDEOGRAPH-F993
F994	cjkcompatibilityideographf994	CJK COMPATIBILITY IDEOGRAPH-F994
F995	cjkcompatibilityideographf995	CJK COMPATIBILITY IDEOGRAPH-F995
F996	cjkcompatibilityideographf996	CJK COMPATIBILITY IDEOGRAPH-F996
F997	cjkcompatibilityideographf997	CJK COMPATIBILITY IDEOGRAPH-F997
F998	cjkcompatibilityideographf998	CJK COMPATIBILITY IDEOGRAPH-F998
F999	cjkcompatibilityideographf999	CJK COMPATIBILITY IDEOGRAPH-F999
F99A	cjkcompatibilityideographf99a	CJK COMPATIBILITY IDEOGRAPH-F99A
F99B	cjkcompatibilityideographf99b	CJK COMPATIBILITY IDEOGRAPH-F99B
F99C	cjkcompatibilityideographf99c	CJK COMPATIBILITY IDEOGRAPH-F99C
F99D	cjkcompatibilityideographf99d	CJK COMPATIBILITY IDEOGRAPH-F99D
F99E	cjkcompatibilityideographf99e	CJK COMPATIBILITY IDEOGRAPH-F99E
F99F	cjkcompatibilityideographf99f	CJK COMPATIBILITY IDEOGRAPH-F99F
F9A0	cjkcompatibilityideographf9a0	CJK COMPATIBILITY IDEOGRAPH-F9A0
F9A1	cjkcompatibilityideographf9a1	CJK COMPATIBILITY IDEOGRAPH-F9A1
F9A2	cjkcompatibilityideographf9a2	CJK COMPATIBILITY IDEOGRAPH-F9A2
F9A3	cjkcompatibilityideographf9a3	CJK COMPATIBILITY IDEOGRAPH-F9A3
F9A4	cjkcompatibilityideographf9a4	CJK COMPATIBILITY IDEOGRAPH-F9A4
F9A5	cjkcompatibilityideographf9a5	CJK COMPATIBILITY IDEOGRAPH-F9A5
F9A6	cjkcompatibilityideographf9a6	CJK COMPATIBILITY IDEOGRAPH-F9A6
F9A7	cjkcompatibilityideographf9a7	CJK COMPATIBILITY IDEOGRAPH-F9A7
F9A8	cjkcompatibilityideographf9a8	CJK COMPATIBILITY IDEOGRAPH-F9A8
F9A9	cjkcompatibilityideographf9a9	CJK COMPATIBILITY IDEOGRAPH-F9A9
F9AA	cjkcompatibilityideographf9aa	CJK COMPATIBILITY IDEOGRAPH-F9AA
F9AB	cjkcompatibilityideographf9ab	CJK COMPATIBILITY IDEOGRAPH-F9AB
F9AC	cjkcompatibilityideographf9ac	CJK COMPATIBILITY IDEOGRAPH-F9AC
F9AD	cjkcompatibilityideographf9ad	CJK COMPATIBILITY IDEOGRAPH-F9AD
F9AE	cjkcompatibilityideographf9ae	CJK COMPATIBILITY IDEOGRAPH-F9AE
F9AF	cjkcompatibilityideographf9af	CJK COMPATIBILITY IDEOGRAPH-F9AF
F9B0	cjkcompatibilityideographf9b0	CJK COMPATIBILITY IDEOGRAPH-F9B0
F9B1	cjkcompatibilityideographf9b1	CJK COMPATIBILITY IDEOGRAPH-F9B1
F9B2	cjkcompatibilityideographf9b2	CJK COMPATIBILITY IDEOGRAPH-F9B2
F9B3	cjkcompatibilityideographf9b3	CJK COMPATIBILITY IDEOGRAPH-F9B3
F9B4	cjkcompatibilityideographf9b4	CJK COMPATIBILITY IDEOGRAPH-F9B4
F9B5	cjkcompatibilityideographf9b5	CJK COMPATIBILITY IDEOGRAPH-F9B5
F9B6	cjkcompatibilityideographf9b6	CJK COMPATIBILITY IDEOGRAPH-F9B6
