# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F87A	cjkcompatibilityideograph2f87a	CJK COMPATIBILITY IDEOGRAPH-2F87A
2F87B	cjkcompatibilityideograph2f87b	CJK COMPATIBILITY IDEOGRAPH-2F87B
2F87C	cjkcompatibilityideograph2f87c	CJK COMPATIBILITY IDEOGRAPH-2F87C
2F87D	cjkcompatibilityideograph2f87d	CJK COMPATIBILITY IDEOGRAPH-2F87D
2F87E	cjkcompatibilityideograph2f87e	CJK COMPATIBILITY IDEOGRAPH-2F87E
2F87F	cjkcompatibilityideograph2f87f	CJK COMPATIBILITY IDEOGRAPH-2F87F
2F880	cjkcompatibilityideograph2f880	CJK COMPATIBILITY IDEOGRAPH-2F880
2F881	cjkcompatibilityideograph2f881	CJK COMPATIBILITY IDEOGRAPH-2F881
2F882	cjkcompatibilityideograph2f882	CJK COMPATIBILITY IDEOGRAPH-2F882
2F883	cjkcompatibilityideograph2f883	CJK COMPATIBILITY IDEOGRAPH-2F883
2F884	cjkcompatibilityideograph2f884	CJK COMPATIBILITY IDEOGRAPH-2F884
2F885	cjkcompatibilityideograph2f885	CJK COMPATIBILITY IDEOGRAPH-2F885
2F886	cjkcompatibilityideograph2f886	CJK COMPATIBILITY IDEOGRAPH-2F886
2F887	cjkcompatibilityideograph2f887	CJK COMPATIBILITY IDEOGRAPH-2F887
2F888	cjkcompatibilityideograph2f888	CJK COMPATIBILITY IDEOGRAPH-2F888
2F889	cjkcompatibilityideograph2f889	CJK COMPATIBILITY IDEOGRAPH-2F889
2F88A	cjkcompatibilityideograph2f88a	CJK COMPATIBILITY IDEOGRAPH-2F88A
2F88B	cjkcompatibilityideograph2f88b	CJK COMPATIBILITY IDEOGRAPH-2F88B
2F88C	cjkcompatibilityideograph2f88c	CJK COMPATIBILITY IDEOGRAPH-2F88C
2F88D	cjkcompatibilityideograph2f88d	CJK COMPATIBILITY IDEOGRAPH-2F88D
2F88E	cjkcompatibilityideograph2f88e	CJK COMPATIBILITY IDEOGRAPH-2F88E
2F88F	cjkcompatibilityideograph2f88f	CJK COMPATIBILITY IDEOGRAPH-2F88F
2F890	cjkcompatibilityideograph2f890	CJK COMPATIBILITY IDEOGRAPH-2F890
2F891	cjkcompatibilityideograph2f891	CJK COMPATIBILITY IDEOGRAPH-2F891
2F892	cjkcompatibilityideograph2f892	CJK COMPATIBILITY IDEOGRAPH-2F892
