# Hangul Syllables AC00 - D7AF
ACB6	hangulsyllablegyeolp	HANGUL SYLLABLE GYEOLP
ACB7	hangulsyllablegyeolh	HANGUL SYLLABLE GYEOLH
ACB8	hangulsyllablegyeom	HANGUL SYLLABLE GYEOM
ACB9	hangulsyllablegyeob	HANGUL SYLLABLE GYEOB
ACBA	hangulsyllablegyeobs	HANGUL SYLLABLE GYEOBS
ACBB	hangulsyllablegyeos	HANGUL SYLLABLE GYEOS
ACBC	hangulsyllablegyeoss	HANGUL SYLLABLE GYEOSS
ACBD	hangulsyllablegyeong	HANGUL SYLLABLE GYEONG
ACBE	hangulsyllablegyeoj	HANGUL SYLLABLE GYEOJ
ACBF	hangulsyllablegyeoc	HANGUL SYLLABLE GYEOC
ACC0	hangulsyllablegyeok	HANGUL SYLLABLE GYEOK
ACC1	hangulsyllablegyeot	HANGUL SYLLABLE GYEOT
ACC2	hangulsyllablegyeop	HANGUL SYLLABLE GYEOP
ACC3	hangulsyllablegyeoh	HANGUL SYLLABLE GYEOH
ACC4	hangulsyllablegye	HANGUL SYLLABLE GYE
ACC5	hangulsyllablegyeg	HANGUL SYLLABLE GYEG
ACC6	hangulsyllablegyegg	HANGUL SYLLABLE GYEGG
ACC7	hangulsyllablegyegs	HANGUL SYLLABLE GYEGS
ACC8	hangulsyllablegyen	HANGUL SYLLABLE GYEN
ACC9	hangulsyllablegyenj	HANGUL SYLLABLE GYENJ
ACCA	hangulsyllablegyenh	HANGUL SYLLABLE GYENH
ACCB	hangulsyllablegyed	HANGUL SYLLABLE GYED
ACCC	hangulsyllablegyel	HANGUL SYLLABLE GYEL
ACCD	hangulsyllablegyelg	HANGUL SYLLABLE GYELG
ACCE	hangulsyllablegyelm	HANGUL SYLLABLE GYELM
ACCF	hangulsyllablegyelb	HANGUL SYLLABLE GYELB
ACD0	hangulsyllablegyels	HANGUL SYLLABLE GYELS
ACD1	hangulsyllablegyelt	HANGUL SYLLABLE GYELT
ACD2	hangulsyllablegyelp	HANGUL SYLLABLE GYELP
ACD3	hangulsyllablegyelh	HANGUL SYLLABLE GYELH
ACD4	hangulsyllablegyem	HANGUL SYLLABLE GYEM
ACD5	hangulsyllablegyeb	HANGUL SYLLABLE GYEB
ACD6	hangulsyllablegyebs	HANGUL SYLLABLE GYEBS
ACD7	hangulsyllablegyes	HANGUL SYLLABLE GYES
ACD8	hangulsyllablegyess	HANGUL SYLLABLE GYESS
ACD9	hangulsyllablegyeng	HANGUL SYLLABLE GYENG
ACDA	hangulsyllablegyej	HANGUL SYLLABLE GYEJ
ACDB	hangulsyllablegyec	HANGUL SYLLABLE GYEC
ACDC	hangulsyllablegyek	HANGUL SYLLABLE GYEK
ACDD	hangulsyllablegyet	HANGUL SYLLABLE GYET
ACDE	hangulsyllablegyep	HANGUL SYLLABLE GYEP
ACDF	hangulsyllablegyeh	HANGUL SYLLABLE GYEH
ACE0	hangulsyllablego	HANGUL SYLLABLE GO
ACE1	hangulsyllablegog	HANGUL SYLLABLE GOG
ACE2	hangulsyllablegogg	HANGUL SYLLABLE GOGG
ACE3	hangulsyllablegogs	HANGUL SYLLABLE GOGS
ACE4	hangulsyllablegon	HANGUL SYLLABLE GON
ACE5	hangulsyllablegonj	HANGUL SYLLABLE GONJ
ACE6	hangulsyllablegonh	HANGUL SYLLABLE GONH
ACE7	hangulsyllablegod	HANGUL SYLLABLE GOD
ACE8	hangulsyllablegol	HANGUL SYLLABLE GOL
ACE9	hangulsyllablegolg	HANGUL SYLLABLE GOLG
ACEA	hangulsyllablegolm	HANGUL SYLLABLE GOLM
ACEB	hangulsyllablegolb	HANGUL SYLLABLE GOLB
ACEC	hangulsyllablegols	HANGUL SYLLABLE GOLS
ACED	hangulsyllablegolt	HANGUL SYLLABLE GOLT
ACEE	hangulsyllablegolp	HANGUL SYLLABLE GOLP
ACEF	hangulsyllablegolh	HANGUL SYLLABLE GOLH
ACF0	hangulsyllablegom	HANGUL SYLLABLE GOM
ACF1	hangulsyllablegob	HANGUL SYLLABLE GOB
ACF2	hangulsyllablegobs	HANGUL SYLLABLE GOBS
ACF3	hangulsyllablegos	HANGUL SYLLABLE GOS
ACF4	hangulsyllablegoss	HANGUL SYLLABLE GOSS
ACF5	hangulsyllablegong	HANGUL SYLLABLE GONG
ACF6	hangulsyllablegoj	HANGUL SYLLABLE GOJ
ACF7	hangulsyllablegoc	HANGUL SYLLABLE GOC
ACF8	hangulsyllablegok	HANGUL SYLLABLE GOK
ACF9	hangulsyllablegot	HANGUL SYLLABLE GOT
ACFA	hangulsyllablegop	HANGUL SYLLABLE GOP
ACFB	hangulsyllablegoh	HANGUL SYLLABLE GOH
ACFC	hangulsyllablegwa	HANGUL SYLLABLE GWA
ACFD	hangulsyllablegwag	HANGUL SYLLABLE GWAG
ACFE	hangulsyllablegwagg	HANGUL SYLLABLE GWAGG
ACFF	hangulsyllablegwags	HANGUL SYLLABLE GWAGS
AD00	hangulsyllablegwan	HANGUL SYLLABLE GWAN
AD01	hangulsyllablegwanj	HANGUL SYLLABLE GWANJ
AD02	hangulsyllablegwanh	HANGUL SYLLABLE GWANH
AD03	hangulsyllablegwad	HANGUL SYLLABLE GWAD
AD04	hangulsyllablegwal	HANGUL SYLLABLE GWAL
AD05	hangulsyllablegwalg	HANGUL SYLLABLE GWALG
AD06	hangulsyllablegwalm	HANGUL SYLLABLE GWALM
AD07	hangulsyllablegwalb	HANGUL SYLLABLE GWALB
AD08	hangulsyllablegwals	HANGUL SYLLABLE GWALS
AD09	hangulsyllablegwalt	HANGUL SYLLABLE GWALT
AD0A	hangulsyllablegwalp	HANGUL SYLLABLE GWALP
AD0B	hangulsyllablegwalh	HANGUL SYLLABLE GWALH
AD0C	hangulsyllablegwam	HANGUL SYLLABLE GWAM
AD0D	hangulsyllablegwab	HANGUL SYLLABLE GWAB
AD0E	hangulsyllablegwabs	HANGUL SYLLABLE GWABS
AD0F	hangulsyllablegwas	HANGUL SYLLABLE GWAS
AD10	hangulsyllablegwass	HANGUL SYLLABLE GWASS
AD11	hangulsyllablegwang	HANGUL SYLLABLE GWANG
AD12	hangulsyllablegwaj	HANGUL SYLLABLE GWAJ
AD13	hangulsyllablegwac	HANGUL SYLLABLE GWAC
AD14	hangulsyllablegwak	HANGUL SYLLABLE GWAK
AD15	hangulsyllablegwat	HANGUL SYLLABLE GWAT
AD16	hangulsyllablegwap	HANGUL SYLLABLE GWAP
AD17	hangulsyllablegwah	HANGUL SYLLABLE GWAH
AD18	hangulsyllablegwae	HANGUL SYLLABLE GWAE
AD19	hangulsyllablegwaeg	HANGUL SYLLABLE GWAEG
AD1A	hangulsyllablegwaegg	HANGUL SYLLABLE GWAEGG
AD1B	hangulsyllablegwaegs	HANGUL SYLLABLE GWAEGS
AD1C	hangulsyllablegwaen	HANGUL SYLLABLE GWAEN
AD1D	hangulsyllablegwaenj	HANGUL SYLLABLE GWAENJ
AD1E	hangulsyllablegwaenh	HANGUL SYLLABLE GWAENH
AD1F	hangulsyllablegwaed	HANGUL SYLLABLE GWAED
AD20	hangulsyllablegwael	HANGUL SYLLABLE GWAEL
AD21	hangulsyllablegwaelg	HANGUL SYLLABLE GWAELG
AD22	hangulsyllablegwaelm	HANGUL SYLLABLE GWAELM
AD23	hangulsyllablegwaelb	HANGUL SYLLABLE GWAELB
AD24	hangulsyllablegwaels	HANGUL SYLLABLE GWAELS
AD25	hangulsyllablegwaelt	HANGUL SYLLABLE GWAELT
AD26	hangulsyllablegwaelp	HANGUL SYLLABLE GWAELP
AD27	hangulsyllablegwaelh	HANGUL SYLLABLE GWAELH
AD28	hangulsyllablegwaem	HANGUL SYLLABLE GWAEM
AD29	hangulsyllablegwaeb	HANGUL SYLLABLE GWAEB
AD2A	hangulsyllablegwaebs	HANGUL SYLLABLE GWAEBS
AD2B	hangulsyllablegwaes	HANGUL SYLLABLE GWAES
AD2C	hangulsyllablegwaess	HANGUL SYLLABLE GWAESS
AD2D	hangulsyllablegwaeng	HANGUL SYLLABLE GWAENG
AD2E	hangulsyllablegwaej	HANGUL SYLLABLE GWAEJ
AD2F	hangulsyllablegwaec	HANGUL SYLLABLE GWAEC
AD30	hangulsyllablegwaek	HANGUL SYLLABLE GWAEK
