# Musical Symbols 1D100 - 1D1FF
1D15F	musicalsymbolquarternote	MUSICAL SYMBOL QUARTER NOTE
1D160	musicalsymboleighthnote	MUSICAL SYMBOL EIGHTH NOTE
1D161	musicalsymbolsixteenthnote	MUSICAL SYMBOL SIXTEENTH NOTE
1D162	musicalsymbolthirtysecondnote	MUSICAL SYMBOL THIRTY-SECOND NOTE
1D163	musicalsymbolsixtyfourthnote	MUSICAL SYMBOL SIXTY-FOURTH NOTE
1D164	musicalsymbolonehundredtwentyeighthnote	MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE
1D165	musicalsymbolcombiningstem	MUSICAL SYMBOL COMBINING STEM
1D166	musicalsymbolcombiningsprechgesangstem	MUSICAL SYMBOL COMBINING SPRECHGESANG STEM
1D167	musicalsymbolcombiningtremolo1	MUSICAL SYMBOL COMBINING TREMOLO-1
1D168	musicalsymbolcombiningtremolo2	MUSICAL SYMBOL COMBINING TREMOLO-2
1D169	musicalsymbolcombiningtremolo3	MUSICAL SYMBOL COMBINING TREMOLO-3
1D16A	musicalsymbolfingeredtremolo1	MUSICAL SYMBOL FINGERED TREMOLO-1
1D16B	musicalsymbolfingeredtremolo2	MUSICAL SYMBOL FINGERED TREMOLO-2
1D16C	musicalsymbolfingeredtremolo3	MUSICAL SYMBOL FINGERED TREMOLO-3
1D16D	musicalsymbolcombiningaugmentationdot	MUSICAL SYMBOL COMBINING AUGMENTATION DOT
1D16E	musicalsymbolcombiningflag1	MUSICAL SYMBOL COMBINING FLAG-1
1D16F	musicalsymbolcombiningflag2	MUSICAL SYMBOL COMBINING FLAG-2
1D170	musicalsymbolcombiningflag3	MUSICAL SYMBOL COMBINING FLAG-3
1D171	musicalsymbolcombiningflag4	MUSICAL SYMBOL COMBINING FLAG-4
1D172	musicalsymbolcombiningflag5	MUSICAL SYMBOL COMBINING FLAG-5
1D173	musicalsymbolbeginbeam	MUSICAL SYMBOL BEGIN BEAM
1D174	musicalsymbolendbeam	MUSICAL SYMBOL END BEAM
1D175	musicalsymbolbegintie	MUSICAL SYMBOL BEGIN TIE
1D176	musicalsymbolendtie	MUSICAL SYMBOL END TIE
1D177	musicalsymbolbeginslur	MUSICAL SYMBOL BEGIN SLUR
1D178	musicalsymbolendslur	MUSICAL SYMBOL END SLUR
1D179	musicalsymbolbeginphrase	MUSICAL SYMBOL BEGIN PHRASE
1D17A	musicalsymbolendphrase	MUSICAL SYMBOL END PHRASE
1D17B	musicalsymbolcombiningaccent	MUSICAL SYMBOL COMBINING ACCENT
1D17C	musicalsymbolcombiningstaccato	MUSICAL SYMBOL COMBINING STACCATO
1D17D	musicalsymbolcombiningtenuto	MUSICAL SYMBOL COMBINING TENUTO
1D17E	musicalsymbolcombiningstaccatissimo	MUSICAL SYMBOL COMBINING STACCATISSIMO
1D17F	musicalsymbolcombiningmarcato	MUSICAL SYMBOL COMBINING MARCATO
1D180	musicalsymbolcombiningmarcatostaccato	MUSICAL SYMBOL COMBINING MARCATO-STACCATO
1D181	musicalsymbolcombiningaccentstaccato	MUSICAL SYMBOL COMBINING ACCENT-STACCATO
1D182	musicalsymbolcombiningloure	MUSICAL SYMBOL COMBINING LOURE
1D183	musicalsymbolarpeggiatoup	MUSICAL SYMBOL ARPEGGIATO UP
1D184	musicalsymbolarpeggiatodown	MUSICAL SYMBOL ARPEGGIATO DOWN
1D185	musicalsymbolcombiningdoit	MUSICAL SYMBOL COMBINING DOIT
1D186	musicalsymbolcombiningrip	MUSICAL SYMBOL COMBINING RIP
1D187	musicalsymbolcombiningflip	MUSICAL SYMBOL COMBINING FLIP
1D188	musicalsymbolcombiningsmear	MUSICAL SYMBOL COMBINING SMEAR
1D189	musicalsymbolcombiningbend	MUSICAL SYMBOL COMBINING BEND
1D18A	musicalsymbolcombiningdoubletongue	MUSICAL SYMBOL COMBINING DOUBLE TONGUE
1D18B	musicalsymbolcombiningtripletongue	MUSICAL SYMBOL COMBINING TRIPLE TONGUE
1D18C	musicalsymbolrinforzando	MUSICAL SYMBOL RINFORZANDO
1D18D	musicalsymbolsubito	MUSICAL SYMBOL SUBITO
1D18E	musicalsymbolz	MUSICAL SYMBOL Z
1D18F	musicalsymbolpiano	MUSICAL SYMBOL PIANO
1D190	musicalsymbolmezzo	MUSICAL SYMBOL MEZZO
1D191	musicalsymbolforte	MUSICAL SYMBOL FORTE
1D192	musicalsymbolcrescendo	MUSICAL SYMBOL CRESCENDO
1D193	musicalsymboldecrescendo	MUSICAL SYMBOL DECRESCENDO
1D194	musicalsymbolgracenoteslash	MUSICAL SYMBOL GRACE NOTE SLASH
1D195	musicalsymbolgracenotenoslash	MUSICAL SYMBOL GRACE NOTE NO SLASH
1D196	musicalsymboltr	MUSICAL SYMBOL TR
1D197	musicalsymbolturn	MUSICAL SYMBOL TURN
1D198	musicalsymbolinvertedturn	MUSICAL SYMBOL INVERTED TURN
1D199	musicalsymbolturnslash	MUSICAL SYMBOL TURN SLASH
1D19A	musicalsymbolturnup	MUSICAL SYMBOL TURN UP
1D19B	musicalsymbolornamentstroke1	MUSICAL SYMBOL ORNAMENT STROKE-1
1D19C	musicalsymbolornamentstroke2	MUSICAL SYMBOL ORNAMENT STROKE-2
1D19D	musicalsymbolornamentstroke3	MUSICAL SYMBOL ORNAMENT STROKE-3
1D19E	musicalsymbolornamentstroke4	MUSICAL SYMBOL ORNAMENT STROKE-4
1D19F	musicalsymbolornamentstroke5	MUSICAL SYMBOL ORNAMENT STROKE-5
1D1A0	musicalsymbolornamentstroke6	MUSICAL SYMBOL ORNAMENT STROKE-6
1D1A1	musicalsymbolornamentstroke7	MUSICAL SYMBOL ORNAMENT STROKE-7
1D1A2	musicalsymbolornamentstroke8	MUSICAL SYMBOL ORNAMENT STROKE-8
1D1A3	musicalsymbolornamentstroke9	MUSICAL SYMBOL ORNAMENT STROKE-9
1D1A4	musicalsymbolornamentstroke10	MUSICAL SYMBOL ORNAMENT STROKE-10
1D1A5	musicalsymbolornamentstroke11	MUSICAL SYMBOL ORNAMENT STROKE-11
1D1A6	musicalsymbolhauptstimme	MUSICAL SYMBOL HAUPTSTIMME
1D1A7	musicalsymbolnebenstimme	MUSICAL SYMBOL NEBENSTIMME
1D1A8	musicalsymbolendofstimme	MUSICAL SYMBOL END OF STIMME
1D1A9	musicalsymboldegreeslash	MUSICAL SYMBOL DEGREE SLASH
1D1AA	musicalsymbolcombiningdownbow	MUSICAL SYMBOL COMBINING DOWN BOW
1D1AB	musicalsymbolcombiningupbow	MUSICAL SYMBOL COMBINING UP BOW
1D1AC	musicalsymbolcombiningharmonic	MUSICAL SYMBOL COMBINING HARMONIC
1D1AD	musicalsymbolcombiningsnappizzicato	MUSICAL SYMBOL COMBINING SNAP PIZZICATO
1D1AE	musicalsymbolpedalmark	MUSICAL SYMBOL PEDAL MARK
1D1AF	musicalsymbolpedalupmark	MUSICAL SYMBOL PEDAL UP MARK
1D1B0	musicalsymbolhalfpedalmark	MUSICAL SYMBOL HALF PEDAL MARK
1D1B1	musicalsymbolglissandoup	MUSICAL SYMBOL GLISSANDO UP
1D1B2	musicalsymbolglissandodown	MUSICAL SYMBOL GLISSANDO DOWN
1D1B3	musicalsymbolwithfingernails	MUSICAL SYMBOL WITH FINGERNAILS
1D1B4	musicalsymboldamp	MUSICAL SYMBOL DAMP
1D1B5	musicalsymboldampall	MUSICAL SYMBOL DAMP ALL
1D1B6	musicalsymbolmaxima	MUSICAL SYMBOL MAXIMA
1D1B7	musicalsymbollonga	MUSICAL SYMBOL LONGA
1D1B8	musicalsymbolbrevis	MUSICAL SYMBOL BREVIS
1D1B9	musicalsymbolsemibreviswhite	MUSICAL SYMBOL SEMIBREVIS WHITE
1D1BA	musicalsymbolsemibrevisblack	MUSICAL SYMBOL SEMIBREVIS BLACK
1D1BB	musicalsymbolminima	MUSICAL SYMBOL MINIMA
1D1BC	musicalsymbolminimablack	MUSICAL SYMBOL MINIMA BLACK
1D1BD	musicalsymbolsemiminimawhite	MUSICAL SYMBOL SEMIMINIMA WHITE
1D1BE	musicalsymbolsemiminimablack	MUSICAL SYMBOL SEMIMINIMA BLACK
1D1BF	musicalsymbolfusawhite	MUSICAL SYMBOL FUSA WHITE
1D1C0	musicalsymbolfusablack	MUSICAL SYMBOL FUSA BLACK
1D1C1	musicalsymbollongaperfectarest	MUSICAL SYMBOL LONGA PERFECTA REST
1D1C2	musicalsymbollongaimperfectarest	MUSICAL SYMBOL LONGA IMPERFECTA REST
1D1C3	musicalsymbolbrevisrest	MUSICAL SYMBOL BREVIS REST
1D1C4	musicalsymbolsemibrevisrest	MUSICAL SYMBOL SEMIBREVIS REST
1D1C5	musicalsymbolminimarest	MUSICAL SYMBOL MINIMA REST
1D1C6	musicalsymbolsemiminimarest	MUSICAL SYMBOL SEMIMINIMA REST
1D1C7	musicalsymboltempusperfectumcumprolationeperfecta	MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE PERFECTA
1D1C8	musicalsymboltempusperfectumcumprolationeimperfecta	MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE IMPERFECTA
1D1C9	musicalsymboltempusperfectumcumprolationeperfectadiminution1	MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE PERFECTA DIMINUTION-1
1D1CA	musicalsymboltempusimperfectumcumprolationeperfecta	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE PERFECTA
1D1CB	musicalsymboltempusimperfectumcumprolationeimperfecta	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA
1D1CC	musicalsymboltempusimperfectumcumprolationeimperfectadiminution1	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-1
1D1CD	musicalsymboltempusimperfectumcumprolationeimperfectadiminution2	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-2
1D1CE	musicalsymboltempusimperfectumcumprolationeimperfectadiminution3	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-3
1D1CF	musicalsymbolcroix	MUSICAL SYMBOL CROIX
1D1D0	musicalsymbolgregoriancclef	MUSICAL SYMBOL GREGORIAN C CLEF
1D1D1	musicalsymbolgregorianfclef	MUSICAL SYMBOL GREGORIAN F CLEF
1D1D2	musicalsymbolsquareb	MUSICAL SYMBOL SQUARE B
1D1D3	musicalsymbolvirga	MUSICAL SYMBOL VIRGA
1D1D4	musicalsymbolpodatus	MUSICAL SYMBOL PODATUS
1D1D5	musicalsymbolclivis	MUSICAL SYMBOL CLIVIS
1D1D6	musicalsymbolscandicus	MUSICAL SYMBOL SCANDICUS
1D1D7	musicalsymbolclimacus	MUSICAL SYMBOL CLIMACUS
1D1D8	musicalsymboltorculus	MUSICAL SYMBOL TORCULUS
1D1D9	musicalsymbolporrectus	MUSICAL SYMBOL PORRECTUS
1D1DA	musicalsymbolporrectusflexus	MUSICAL SYMBOL PORRECTUS FLEXUS
1D1DB	musicalsymbolscandicusflexus	MUSICAL SYMBOL SCANDICUS FLEXUS
1D1DC	musicalsymboltorculusresupinus	MUSICAL SYMBOL TORCULUS RESUPINUS
1D1DD	musicalsymbolpessubpunctis	MUSICAL SYMBOL PES SUBPUNCTIS
