# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A7C3	cjkunifiedideograph2a7c3	CJK UNIFIED IDEOGRAPH-2A7C3
2A7C4	cjkunifiedideograph2a7c4	CJK UNIFIED IDEOGRAPH-2A7C4
2A7C5	cjkunifiedideograph2a7c5	CJK UNIFIED IDEOGRAPH-2A7C5
2A7C6	cjkunifiedideograph2a7c6	CJK UNIFIED IDEOGRAPH-2A7C6
2A7C7	cjkunifiedideograph2a7c7	CJK UNIFIED IDEOGRAPH-2A7C7
2A7C8	cjkunifiedideograph2a7c8	CJK UNIFIED IDEOGRAPH-2A7C8
2A7C9	cjkunifiedideograph2a7c9	CJK UNIFIED IDEOGRAPH-2A7C9
2A7CA	cjkunifiedideograph2a7ca	CJK UNIFIED IDEOGRAPH-2A7CA
2A7CB	cjkunifiedideograph2a7cb	CJK UNIFIED IDEOGRAPH-2A7CB
2A7CC	cjkunifiedideograph2a7cc	CJK UNIFIED IDEOGRAPH-2A7CC
2A7CD	cjkunifiedideograph2a7cd	CJK UNIFIED IDEOGRAPH-2A7CD
2A7CE	cjkunifiedideograph2a7ce	CJK UNIFIED IDEOGRAPH-2A7CE
2A7CF	cjkunifiedideograph2a7cf	CJK UNIFIED IDEOGRAPH-2A7CF
2A7D0	cjkunifiedideograph2a7d0	CJK UNIFIED IDEOGRAPH-2A7D0
2A7D1	cjkunifiedideograph2a7d1	CJK UNIFIED IDEOGRAPH-2A7D1
2A7D2	cjkunifiedideograph2a7d2	CJK UNIFIED IDEOGRAPH-2A7D2
2A7D3	cjkunifiedideograph2a7d3	CJK UNIFIED IDEOGRAPH-2A7D3
2A7D4	cjkunifiedideograph2a7d4	CJK UNIFIED IDEOGRAPH-2A7D4
2A7D5	cjkunifiedideograph2a7d5	CJK UNIFIED IDEOGRAPH-2A7D5
2A7D6	cjkunifiedideograph2a7d6	CJK UNIFIED IDEOGRAPH-2A7D6
2A7D7	cjkunifiedideograph2a7d7	CJK UNIFIED IDEOGRAPH-2A7D7
2A7D8	cjkunifiedideograph2a7d8	CJK UNIFIED IDEOGRAPH-2A7D8
2A7D9	cjkunifiedideograph2a7d9	CJK UNIFIED IDEOGRAPH-2A7D9
2A7DA	cjkunifiedideograph2a7da	CJK UNIFIED IDEOGRAPH-2A7DA
2A7DB	cjkunifiedideograph2a7db	CJK UNIFIED IDEOGRAPH-2A7DB
2A7DC	cjkunifiedideograph2a7dc	CJK UNIFIED IDEOGRAPH-2A7DC
2A7DD	cjkunifiedideograph2a7dd	CJK UNIFIED IDEOGRAPH-2A7DD
2A7DE	cjkunifiedideograph2a7de	CJK UNIFIED IDEOGRAPH-2A7DE
2A7DF	cjkunifiedideograph2a7df	CJK UNIFIED IDEOGRAPH-2A7DF
2A7E0	cjkunifiedideograph2a7e0	CJK UNIFIED IDEOGRAPH-2A7E0
2A7E1	cjkunifiedideograph2a7e1	CJK UNIFIED IDEOGRAPH-2A7E1
2A7E2	cjkunifiedideograph2a7e2	CJK UNIFIED IDEOGRAPH-2A7E2
2A7E3	cjkunifiedideograph2a7e3	CJK UNIFIED IDEOGRAPH-2A7E3
2A7E4	cjkunifiedideograph2a7e4	CJK UNIFIED IDEOGRAPH-2A7E4
2A7E5	cjkunifiedideograph2a7e5	CJK UNIFIED IDEOGRAPH-2A7E5
2A7E6	cjkunifiedideograph2a7e6	CJK UNIFIED IDEOGRAPH-2A7E6
2A7E7	cjkunifiedideograph2a7e7	CJK UNIFIED IDEOGRAPH-2A7E7
2A7E8	cjkunifiedideograph2a7e8	CJK UNIFIED IDEOGRAPH-2A7E8
2A7E9	cjkunifiedideograph2a7e9	CJK UNIFIED IDEOGRAPH-2A7E9
2A7EA	cjkunifiedideograph2a7ea	CJK UNIFIED IDEOGRAPH-2A7EA
2A7EB	cjkunifiedideograph2a7eb	CJK UNIFIED IDEOGRAPH-2A7EB
2A7EC	cjkunifiedideograph2a7ec	CJK UNIFIED IDEOGRAPH-2A7EC
2A7ED	cjkunifiedideograph2a7ed	CJK UNIFIED IDEOGRAPH-2A7ED
2A7EE	cjkunifiedideograph2a7ee	CJK UNIFIED IDEOGRAPH-2A7EE
2A7EF	cjkunifiedideograph2a7ef	CJK UNIFIED IDEOGRAPH-2A7EF
2A7F0	cjkunifiedideograph2a7f0	CJK UNIFIED IDEOGRAPH-2A7F0
2A7F1	cjkunifiedideograph2a7f1	CJK UNIFIED IDEOGRAPH-2A7F1
2A7F2	cjkunifiedideograph2a7f2	CJK UNIFIED IDEOGRAPH-2A7F2
2A7F3	cjkunifiedideograph2a7f3	CJK UNIFIED IDEOGRAPH-2A7F3
2A7F4	cjkunifiedideograph2a7f4	CJK UNIFIED IDEOGRAPH-2A7F4
2A7F5	cjkunifiedideograph2a7f5	CJK UNIFIED IDEOGRAPH-2A7F5
2A7F6	cjkunifiedideograph2a7f6	CJK UNIFIED IDEOGRAPH-2A7F6
2A7F7	cjkunifiedideograph2a7f7	CJK UNIFIED IDEOGRAPH-2A7F7
2A7F8	cjkunifiedideograph2a7f8	CJK UNIFIED IDEOGRAPH-2A7F8
2A7F9	cjkunifiedideograph2a7f9	CJK UNIFIED IDEOGRAPH-2A7F9
2A7FA	cjkunifiedideograph2a7fa	CJK UNIFIED IDEOGRAPH-2A7FA
2A7FB	cjkunifiedideograph2a7fb	CJK UNIFIED IDEOGRAPH-2A7FB
2A7FC	cjkunifiedideograph2a7fc	CJK UNIFIED IDEOGRAPH-2A7FC
2A7FD	cjkunifiedideograph2a7fd	CJK UNIFIED IDEOGRAPH-2A7FD
2A7FE	cjkunifiedideograph2a7fe	CJK UNIFIED IDEOGRAPH-2A7FE
2A7FF	cjkunifiedideograph2a7ff	CJK UNIFIED IDEOGRAPH-2A7FF
2A800	cjkunifiedideograph2a800	CJK UNIFIED IDEOGRAPH-2A800
2A801	cjkunifiedideograph2a801	CJK UNIFIED IDEOGRAPH-2A801
2A802	cjkunifiedideograph2a802	CJK UNIFIED IDEOGRAPH-2A802
2A803	cjkunifiedideograph2a803	CJK UNIFIED IDEOGRAPH-2A803
2A804	cjkunifiedideograph2a804	CJK UNIFIED IDEOGRAPH-2A804
2A805	cjkunifiedideograph2a805	CJK UNIFIED IDEOGRAPH-2A805
2A806	cjkunifiedideograph2a806	CJK UNIFIED IDEOGRAPH-2A806
2A807	cjkunifiedideograph2a807	CJK UNIFIED IDEOGRAPH-2A807
2A808	cjkunifiedideograph2a808	CJK UNIFIED IDEOGRAPH-2A808
2A809	cjkunifiedideograph2a809	CJK UNIFIED IDEOGRAPH-2A809
2A80A	cjkunifiedideograph2a80a	CJK UNIFIED IDEOGRAPH-2A80A
2A80B	cjkunifiedideograph2a80b	CJK UNIFIED IDEOGRAPH-2A80B
2A80C	cjkunifiedideograph2a80c	CJK UNIFIED IDEOGRAPH-2A80C
2A80D	cjkunifiedideograph2a80d	CJK UNIFIED IDEOGRAPH-2A80D
2A80E	cjkunifiedideograph2a80e	CJK UNIFIED IDEOGRAPH-2A80E
2A80F	cjkunifiedideograph2a80f	CJK UNIFIED IDEOGRAPH-2A80F
2A810	cjkunifiedideograph2a810	CJK UNIFIED IDEOGRAPH-2A810
2A811	cjkunifiedideograph2a811	CJK UNIFIED IDEOGRAPH-2A811
2A812	cjkunifiedideograph2a812	CJK UNIFIED IDEOGRAPH-2A812
2A813	cjkunifiedideograph2a813	CJK UNIFIED IDEOGRAPH-2A813
2A814	cjkunifiedideograph2a814	CJK UNIFIED IDEOGRAPH-2A814
2A815	cjkunifiedideograph2a815	CJK UNIFIED IDEOGRAPH-2A815
2A816	cjkunifiedideograph2a816	CJK UNIFIED IDEOGRAPH-2A816
2A817	cjkunifiedideograph2a817	CJK UNIFIED IDEOGRAPH-2A817
2A818	cjkunifiedideograph2a818	CJK UNIFIED IDEOGRAPH-2A818
2A819	cjkunifiedideograph2a819	CJK UNIFIED IDEOGRAPH-2A819
2A81A	cjkunifiedideograph2a81a	CJK UNIFIED IDEOGRAPH-2A81A
2A81B	cjkunifiedideograph2a81b	CJK UNIFIED IDEOGRAPH-2A81B
2A81C	cjkunifiedideograph2a81c	CJK UNIFIED IDEOGRAPH-2A81C
2A81D	cjkunifiedideograph2a81d	CJK UNIFIED IDEOGRAPH-2A81D
2A81E	cjkunifiedideograph2a81e	CJK UNIFIED IDEOGRAPH-2A81E
2A81F	cjkunifiedideograph2a81f	CJK UNIFIED IDEOGRAPH-2A81F
2A820	cjkunifiedideograph2a820	CJK UNIFIED IDEOGRAPH-2A820
2A821	cjkunifiedideograph2a821	CJK UNIFIED IDEOGRAPH-2A821
2A822	cjkunifiedideograph2a822	CJK UNIFIED IDEOGRAPH-2A822
2A823	cjkunifiedideograph2a823	CJK UNIFIED IDEOGRAPH-2A823
2A824	cjkunifiedideograph2a824	CJK UNIFIED IDEOGRAPH-2A824
2A825	cjkunifiedideograph2a825	CJK UNIFIED IDEOGRAPH-2A825
2A826	cjkunifiedideograph2a826	CJK UNIFIED IDEOGRAPH-2A826
2A827	cjkunifiedideograph2a827	CJK UNIFIED IDEOGRAPH-2A827
2A828	cjkunifiedideograph2a828	CJK UNIFIED IDEOGRAPH-2A828
2A829	cjkunifiedideograph2a829	CJK UNIFIED IDEOGRAPH-2A829
2A82A	cjkunifiedideograph2a82a	CJK UNIFIED IDEOGRAPH-2A82A
2A82B	cjkunifiedideograph2a82b	CJK UNIFIED IDEOGRAPH-2A82B
2A82C	cjkunifiedideograph2a82c	CJK UNIFIED IDEOGRAPH-2A82C
2A82D	cjkunifiedideograph2a82d	CJK UNIFIED IDEOGRAPH-2A82D
2A82E	cjkunifiedideograph2a82e	CJK UNIFIED IDEOGRAPH-2A82E
2A82F	cjkunifiedideograph2a82f	CJK UNIFIED IDEOGRAPH-2A82F
2A830	cjkunifiedideograph2a830	CJK UNIFIED IDEOGRAPH-2A830
2A831	cjkunifiedideograph2a831	CJK UNIFIED IDEOGRAPH-2A831
2A832	cjkunifiedideograph2a832	CJK UNIFIED IDEOGRAPH-2A832
2A833	cjkunifiedideograph2a833	CJK UNIFIED IDEOGRAPH-2A833
2A834	cjkunifiedideograph2a834	CJK UNIFIED IDEOGRAPH-2A834
2A835	cjkunifiedideograph2a835	CJK UNIFIED IDEOGRAPH-2A835
2A836	cjkunifiedideograph2a836	CJK UNIFIED IDEOGRAPH-2A836
2A837	cjkunifiedideograph2a837	CJK UNIFIED IDEOGRAPH-2A837
