# Unified Canadian Aboriginal Syllabics 1400 - 167F
1489	canadiansyllabicsce	CANADIAN SYLLABICS CE
148A	canadiansyllabicscaai	CANADIAN SYLLABICS CAAI
148B	canadiansyllabicsci	CANADIAN SYLLABICS CI
148C	canadiansyllabicscii	CANADIAN SYLLABICS CII
148D	canadiansyllabicsco	CANADIAN SYLLABICS CO
148E	canadiansyllabicscoo	CANADIAN SYLLABICS COO
148F	canadiansyllabicsycreecoo	CANADIAN SYLLABICS Y-CREE COO
1490	canadiansyllabicsca	CANADIAN SYLLABICS CA
1491	canadiansyllabicscaa	CANADIAN SYLLABICS CAA
1492	canadiansyllabicscwe	CANADIAN SYLLABICS CWE
1493	canadiansyllabicswestcreecwe	CANADIAN SYLLABICS WEST-CREE CWE
1494	canadiansyllabicscwi	CANADIAN SYLLABICS CWI
1495	canadiansyllabicswestcreecwi	CANADIAN SYLLABICS WEST-CREE CWI
1496	canadiansyllabicscwii	CANADIAN SYLLABICS CWII
1497	canadiansyllabicswestcreecwii	CANADIAN SYLLABICS WEST-CREE CWII
1498	canadiansyllabicscwo	CANADIAN SYLLABICS CWO
1499	canadiansyllabicswestcreecwo	CANADIAN SYLLABICS WEST-CREE CWO
149A	canadiansyllabicscwoo	CANADIAN SYLLABICS CWOO
149B	canadiansyllabicswestcreecwoo	CANADIAN SYLLABICS WEST-CREE CWOO
149C	canadiansyllabicscwa	CANADIAN SYLLABICS CWA
149D	canadiansyllabicswestcreecwa	CANADIAN SYLLABICS WEST-CREE CWA
149E	canadiansyllabicscwaa	CANADIAN SYLLABICS CWAA
149F	canadiansyllabicswestcreecwaa	CANADIAN SYLLABICS WEST-CREE CWAA
14A0	canadiansyllabicsnaskapicwaa	CANADIAN SYLLABICS NASKAPI CWAA
14A1	canadiansyllabicsc	CANADIAN SYLLABICS C
14A2	canadiansyllabicssayisith	CANADIAN SYLLABICS SAYISI TH
14A3	canadiansyllabicsme	CANADIAN SYLLABICS ME
14A4	canadiansyllabicsmaai	CANADIAN SYLLABICS MAAI
14A5	canadiansyllabicsmi	CANADIAN SYLLABICS MI
14A6	canadiansyllabicsmii	CANADIAN SYLLABICS MII
14A7	canadiansyllabicsmo	CANADIAN SYLLABICS MO
14A8	canadiansyllabicsmoo	CANADIAN SYLLABICS MOO
14A9	canadiansyllabicsycreemoo	CANADIAN SYLLABICS Y-CREE MOO
14AA	canadiansyllabicsma	CANADIAN SYLLABICS MA
14AB	canadiansyllabicsmaa	CANADIAN SYLLABICS MAA
14AC	canadiansyllabicsmwe	CANADIAN SYLLABICS MWE
14AD	canadiansyllabicswestcreemwe	CANADIAN SYLLABICS WEST-CREE MWE
14AE	canadiansyllabicsmwi	CANADIAN SYLLABICS MWI
14AF	canadiansyllabicswestcreemwi	CANADIAN SYLLABICS WEST-CREE MWI
14B0	canadiansyllabicsmwii	CANADIAN SYLLABICS MWII
14B1	canadiansyllabicswestcreemwii	CANADIAN SYLLABICS WEST-CREE MWII
14B2	canadiansyllabicsmwo	CANADIAN SYLLABICS MWO
14B3	canadiansyllabicswestcreemwo	CANADIAN SYLLABICS WEST-CREE MWO
14B4	canadiansyllabicsmwoo	CANADIAN SYLLABICS MWOO
14B5	canadiansyllabicswestcreemwoo	CANADIAN SYLLABICS WEST-CREE MWOO
14B6	canadiansyllabicsmwa	CANADIAN SYLLABICS MWA
14B7	canadiansyllabicswestcreemwa	CANADIAN SYLLABICS WEST-CREE MWA
14B8	canadiansyllabicsmwaa	CANADIAN SYLLABICS MWAA
14B9	canadiansyllabicswestcreemwaa	CANADIAN SYLLABICS WEST-CREE MWAA
14BA	canadiansyllabicsnaskapimwaa	CANADIAN SYLLABICS NASKAPI MWAA
14BB	canadiansyllabicsm	CANADIAN SYLLABICS M
14BC	canadiansyllabicswestcreem	CANADIAN SYLLABICS WEST-CREE M
14BD	canadiansyllabicsmh	CANADIAN SYLLABICS MH
14BE	canadiansyllabicsathapascanm	CANADIAN SYLLABICS ATHAPASCAN M
14BF	canadiansyllabicssayisim	CANADIAN SYLLABICS SAYISI M
14C0	canadiansyllabicsne	CANADIAN SYLLABICS NE
14C1	canadiansyllabicsnaai	CANADIAN SYLLABICS NAAI
14C2	canadiansyllabicsni	CANADIAN SYLLABICS NI
14C3	canadiansyllabicsnii	CANADIAN SYLLABICS NII
