# Egyptian Hieroglyphs 13000 - 1342F
130F8	egyptianhieroglyphe033	EGYPTIAN HIEROGLYPH E033
130F9	egyptianhieroglyphe034	EGYPTIAN HIEROGLYPH E034
130FA	egyptianhieroglyphe034a	EGYPTIAN HIEROGLYPH E034A
130FB	egyptianhieroglyphe036	EGYPTIAN HIEROGLYPH E036
130FC	egyptianhieroglyphe037	EGYPTIAN HIEROGLYPH E037
130FD	egyptianhieroglyphe038	EGYPTIAN HIEROGLYPH E038
130FE	egyptianhieroglyphf001	EGYPTIAN HIEROGLYPH F001
130FF	egyptianhieroglyphf001a	EGYPTIAN HIEROGLYPH F001A
13100	egyptianhieroglyphf002	EGYPTIAN HIEROGLYPH F002
13101	egyptianhieroglyphf003	EGYPTIAN HIEROGLYPH F003
13102	egyptianhieroglyphf004	EGYPTIAN HIEROGLYPH F004
13103	egyptianhieroglyphf005	EGYPTIAN HIEROGLYPH F005
13104	egyptianhieroglyphf006	EGYPTIAN HIEROGLYPH F006
13105	egyptianhieroglyphf007	EGYPTIAN HIEROGLYPH F007
13106	egyptianhieroglyphf008	EGYPTIAN HIEROGLYPH F008
13107	egyptianhieroglyphf009	EGYPTIAN HIEROGLYPH F009
13108	egyptianhieroglyphf010	EGYPTIAN HIEROGLYPH F010
13109	egyptianhieroglyphf011	EGYPTIAN HIEROGLYPH F011
1310A	egyptianhieroglyphf012	EGYPTIAN HIEROGLYPH F012
1310B	egyptianhieroglyphf013	EGYPTIAN HIEROGLYPH F013
1310C	egyptianhieroglyphf013a	EGYPTIAN HIEROGLYPH F013A
1310D	egyptianhieroglyphf014	EGYPTIAN HIEROGLYPH F014
1310E	egyptianhieroglyphf015	EGYPTIAN HIEROGLYPH F015
1310F	egyptianhieroglyphf016	EGYPTIAN HIEROGLYPH F016
13110	egyptianhieroglyphf017	EGYPTIAN HIEROGLYPH F017
13111	egyptianhieroglyphf018	EGYPTIAN HIEROGLYPH F018
13112	egyptianhieroglyphf019	EGYPTIAN HIEROGLYPH F019
13113	egyptianhieroglyphf020	EGYPTIAN HIEROGLYPH F020
13114	egyptianhieroglyphf021	EGYPTIAN HIEROGLYPH F021
13115	egyptianhieroglyphf021a	EGYPTIAN HIEROGLYPH F021A
13116	egyptianhieroglyphf022	EGYPTIAN HIEROGLYPH F022
13117	egyptianhieroglyphf023	EGYPTIAN HIEROGLYPH F023
13118	egyptianhieroglyphf024	EGYPTIAN HIEROGLYPH F024
13119	egyptianhieroglyphf025	EGYPTIAN HIEROGLYPH F025
1311A	egyptianhieroglyphf026	EGYPTIAN HIEROGLYPH F026
1311B	egyptianhieroglyphf027	EGYPTIAN HIEROGLYPH F027
1311C	egyptianhieroglyphf028	EGYPTIAN HIEROGLYPH F028
1311D	egyptianhieroglyphf029	EGYPTIAN HIEROGLYPH F029
1311E	egyptianhieroglyphf030	EGYPTIAN HIEROGLYPH F030
1311F	egyptianhieroglyphf031	EGYPTIAN HIEROGLYPH F031
13120	egyptianhieroglyphf031a	EGYPTIAN HIEROGLYPH F031A
13121	egyptianhieroglyphf032	EGYPTIAN HIEROGLYPH F032
13122	egyptianhieroglyphf033	EGYPTIAN HIEROGLYPH F033
13123	egyptianhieroglyphf034	EGYPTIAN HIEROGLYPH F034
13124	egyptianhieroglyphf035	EGYPTIAN HIEROGLYPH F035
13125	egyptianhieroglyphf036	EGYPTIAN HIEROGLYPH F036
13126	egyptianhieroglyphf037	EGYPTIAN HIEROGLYPH F037
13127	egyptianhieroglyphf037a	EGYPTIAN HIEROGLYPH F037A
13128	egyptianhieroglyphf038	EGYPTIAN HIEROGLYPH F038
13129	egyptianhieroglyphf038a	EGYPTIAN HIEROGLYPH F038A
1312A	egyptianhieroglyphf039	EGYPTIAN HIEROGLYPH F039
1312B	egyptianhieroglyphf040	EGYPTIAN HIEROGLYPH F040
1312C	egyptianhieroglyphf041	EGYPTIAN HIEROGLYPH F041
1312D	egyptianhieroglyphf042	EGYPTIAN HIEROGLYPH F042
1312E	egyptianhieroglyphf043	EGYPTIAN HIEROGLYPH F043
1312F	egyptianhieroglyphf044	EGYPTIAN HIEROGLYPH F044
13130	egyptianhieroglyphf045	EGYPTIAN HIEROGLYPH F045
13131	egyptianhieroglyphf045a	EGYPTIAN HIEROGLYPH F045A
13132	egyptianhieroglyphf046	EGYPTIAN HIEROGLYPH F046
13133	egyptianhieroglyphf046a	EGYPTIAN HIEROGLYPH F046A
13134	egyptianhieroglyphf047	EGYPTIAN HIEROGLYPH F047
13135	egyptianhieroglyphf047a	EGYPTIAN HIEROGLYPH F047A
13136	egyptianhieroglyphf048	EGYPTIAN HIEROGLYPH F048
13137	egyptianhieroglyphf049	EGYPTIAN HIEROGLYPH F049
13138	egyptianhieroglyphf050	EGYPTIAN HIEROGLYPH F050
13139	egyptianhieroglyphf051	EGYPTIAN HIEROGLYPH F051
1313A	egyptianhieroglyphf051a	EGYPTIAN HIEROGLYPH F051A
1313B	egyptianhieroglyphf051b	EGYPTIAN HIEROGLYPH F051B
1313C	egyptianhieroglyphf051c	EGYPTIAN HIEROGLYPH F051C
1313D	egyptianhieroglyphf052	EGYPTIAN HIEROGLYPH F052
1313E	egyptianhieroglyphf053	EGYPTIAN HIEROGLYPH F053
1313F	egyptianhieroglyphg001	EGYPTIAN HIEROGLYPH G001
13140	egyptianhieroglyphg002	EGYPTIAN HIEROGLYPH G002
13141	egyptianhieroglyphg003	EGYPTIAN HIEROGLYPH G003
13142	egyptianhieroglyphg004	EGYPTIAN HIEROGLYPH G004
13143	egyptianhieroglyphg005	EGYPTIAN HIEROGLYPH G005
13144	egyptianhieroglyphg006	EGYPTIAN HIEROGLYPH G006
13145	egyptianhieroglyphg006a	EGYPTIAN HIEROGLYPH G006A
13146	egyptianhieroglyphg007	EGYPTIAN HIEROGLYPH G007
13147	egyptianhieroglyphg007a	EGYPTIAN HIEROGLYPH G007A
13148	egyptianhieroglyphg007b	EGYPTIAN HIEROGLYPH G007B
13149	egyptianhieroglyphg008	EGYPTIAN HIEROGLYPH G008
1314A	egyptianhieroglyphg009	EGYPTIAN HIEROGLYPH G009
1314B	egyptianhieroglyphg010	EGYPTIAN HIEROGLYPH G010
1314C	egyptianhieroglyphg011	EGYPTIAN HIEROGLYPH G011
1314D	egyptianhieroglyphg011a	EGYPTIAN HIEROGLYPH G011A
1314E	egyptianhieroglyphg012	EGYPTIAN HIEROGLYPH G012
1314F	egyptianhieroglyphg013	EGYPTIAN HIEROGLYPH G013
13150	egyptianhieroglyphg014	EGYPTIAN HIEROGLYPH G014
13151	egyptianhieroglyphg015	EGYPTIAN HIEROGLYPH G015
13152	egyptianhieroglyphg016	EGYPTIAN HIEROGLYPH G016
13153	egyptianhieroglyphg017	EGYPTIAN HIEROGLYPH G017
13154	egyptianhieroglyphg018	EGYPTIAN HIEROGLYPH G018
13155	egyptianhieroglyphg019	EGYPTIAN HIEROGLYPH G019
13156	egyptianhieroglyphg020	EGYPTIAN HIEROGLYPH G020
13157	egyptianhieroglyphg020a	EGYPTIAN HIEROGLYPH G020A
13158	egyptianhieroglyphg021	EGYPTIAN HIEROGLYPH G021
13159	egyptianhieroglyphg022	EGYPTIAN HIEROGLYPH G022
1315A	egyptianhieroglyphg023	EGYPTIAN HIEROGLYPH G023
1315B	egyptianhieroglyphg024	EGYPTIAN HIEROGLYPH G024
1315C	egyptianhieroglyphg025	EGYPTIAN HIEROGLYPH G025
1315D	egyptianhieroglyphg026	EGYPTIAN HIEROGLYPH G026
1315E	egyptianhieroglyphg026a	EGYPTIAN HIEROGLYPH G026A
1315F	egyptianhieroglyphg027	EGYPTIAN HIEROGLYPH G027
13160	egyptianhieroglyphg028	EGYPTIAN HIEROGLYPH G028
13161	egyptianhieroglyphg029	EGYPTIAN HIEROGLYPH G029
13162	egyptianhieroglyphg030	EGYPTIAN HIEROGLYPH G030
13163	egyptianhieroglyphg031	EGYPTIAN HIEROGLYPH G031
13164	egyptianhieroglyphg032	EGYPTIAN HIEROGLYPH G032
13165	egyptianhieroglyphg033	EGYPTIAN HIEROGLYPH G033
13166	egyptianhieroglyphg034	EGYPTIAN HIEROGLYPH G034
13167	egyptianhieroglyphg035	EGYPTIAN HIEROGLYPH G035
13168	egyptianhieroglyphg036	EGYPTIAN HIEROGLYPH G036
13169	egyptianhieroglyphg036a	EGYPTIAN HIEROGLYPH G036A
1316A	egyptianhieroglyphg037	EGYPTIAN HIEROGLYPH G037
1316B	egyptianhieroglyphg037a	EGYPTIAN HIEROGLYPH G037A
1316C	egyptianhieroglyphg038	EGYPTIAN HIEROGLYPH G038
1316D	egyptianhieroglyphg039	EGYPTIAN HIEROGLYPH G039
1316E	egyptianhieroglyphg040	EGYPTIAN HIEROGLYPH G040
1316F	egyptianhieroglyphg041	EGYPTIAN HIEROGLYPH G041
13170	egyptianhieroglyphg042	EGYPTIAN HIEROGLYPH G042
13171	egyptianhieroglyphg043	EGYPTIAN HIEROGLYPH G043
