# Byzantine Musical Symbols 1D000 - 1D0FF
1D000	byzantinemusicalsymbolpsili	BYZANTINE MUSICAL SYMBOL PSILI
1D019	byzantinemusicalsymbolvathy	BYZANTINE MUSICAL SYMBOL VATHY
1D01A	byzantinemusicalsymbolisonarchaion	BYZANTINE MUSICAL SYMBOL ISON ARCHAION
1D01B	byzantinemusicalsymbolkentimaarchaion	BYZANTINE MUSICAL SYMBOL KENTIMA ARCHAION
1D01C	byzantinemusicalsymbolkentimataarchaion	BYZANTINE MUSICAL SYMBOL KENTIMATA ARCHAION
1D01D	byzantinemusicalsymbolsaximata	BYZANTINE MUSICAL SYMBOL SAXIMATA
1D01E	byzantinemusicalsymbolparichon	BYZANTINE MUSICAL SYMBOL PARICHON
1D01F	byzantinemusicalsymbolstavrosapodexia	BYZANTINE MUSICAL SYMBOL STAVROS APODEXIA
1D020	byzantinemusicalsymboloxeiaiarchaion	BYZANTINE MUSICAL SYMBOL OXEIAI ARCHAION
1D021	byzantinemusicalsymbolvareiaiarchaion	BYZANTINE MUSICAL SYMBOL VAREIAI ARCHAION
1D022	byzantinemusicalsymbolapodermaarchaion	BYZANTINE MUSICAL SYMBOL APODERMA ARCHAION
1D023	byzantinemusicalsymbolapothema	BYZANTINE MUSICAL SYMBOL APOTHEMA
1D024	byzantinemusicalsymbolklasma	BYZANTINE MUSICAL SYMBOL KLASMA
1D025	byzantinemusicalsymbolrevma	BYZANTINE MUSICAL SYMBOL REVMA
1D026	byzantinemusicalsymbolpiasmaarchaion	BYZANTINE MUSICAL SYMBOL PIASMA ARCHAION
1D027	byzantinemusicalsymboltinagma	BYZANTINE MUSICAL SYMBOL TINAGMA
1D028	byzantinemusicalsymbolanatrichisma	BYZANTINE MUSICAL SYMBOL ANATRICHISMA
1D029	byzantinemusicalsymbolseisma	BYZANTINE MUSICAL SYMBOL SEISMA
1D02A	byzantinemusicalsymbolsynagmaarchaion	BYZANTINE MUSICAL SYMBOL SYNAGMA ARCHAION
1D02B	byzantinemusicalsymbolsynagmametastavrou	BYZANTINE MUSICAL SYMBOL SYNAGMA META STAVROU
1D02C	byzantinemusicalsymboloyranismaarchaion	BYZANTINE MUSICAL SYMBOL OYRANISMA ARCHAION
1D02D	byzantinemusicalsymbolthema	BYZANTINE MUSICAL SYMBOL THEMA
1D02E	byzantinemusicalsymbollemoi	BYZANTINE MUSICAL SYMBOL LEMOI
1D02F	byzantinemusicalsymboldyo	BYZANTINE MUSICAL SYMBOL DYO
1D030	byzantinemusicalsymboltria	BYZANTINE MUSICAL SYMBOL TRIA
1D031	byzantinemusicalsymboltessera	BYZANTINE MUSICAL SYMBOL TESSERA
1D032	byzantinemusicalsymbolkratimata	BYZANTINE MUSICAL SYMBOL KRATIMATA
1D033	byzantinemusicalsymbolapesoexoneo	BYZANTINE MUSICAL SYMBOL APESO EXO NEO
1D034	byzantinemusicalsymbolfthoraarchaion	BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION
1D035	byzantinemusicalsymbolimifthora	BYZANTINE MUSICAL SYMBOL IMIFTHORA
1D036	byzantinemusicalsymboltromikonarchaion	BYZANTINE MUSICAL SYMBOL TROMIKON ARCHAION
1D037	byzantinemusicalsymbolkatavatromikon	BYZANTINE MUSICAL SYMBOL KATAVA TROMIKON
1D038	byzantinemusicalsymbolpelaston	BYZANTINE MUSICAL SYMBOL PELASTON
