# Cuneiform 12000 - 123FF
120AC	cuneiformsignezentimeskaskal	CUNEIFORM SIGN EZEN TIMES KASKAL
120AD	cuneiformsignezentimeskaskalsquared	CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
120AE	cuneiformsignezentimesku3	CUNEIFORM SIGN EZEN TIMES KU3
120AF	cuneiformsignezentimesla	CUNEIFORM SIGN EZEN TIMES LA
120B0	cuneiformsignezentimeslaltimeslal	CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
120B1	cuneiformsignezentimesli	CUNEIFORM SIGN EZEN TIMES LI
120B2	cuneiformsignezentimeslu	CUNEIFORM SIGN EZEN TIMES LU
120B3	cuneiformsignezentimesu2	CUNEIFORM SIGN EZEN TIMES U2
120B4	cuneiformsignezentimesud	CUNEIFORM SIGN EZEN TIMES UD
120B5	cuneiformsignga	CUNEIFORM SIGN GA
120B6	cuneiformsigngagunu	CUNEIFORM SIGN GA GUNU
120B7	cuneiformsignga2	CUNEIFORM SIGN GA2
120B8	cuneiformsignga2timesaplusdaplusha	CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
120B9	cuneiformsignga2timesaplusha	CUNEIFORM SIGN GA2 TIMES A PLUS HA
120BA	cuneiformsignga2timesaplusigi	CUNEIFORM SIGN GA2 TIMES A PLUS IGI
120BB	cuneiformsignga2timesab2tenuplustab	CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB
120BC	cuneiformsignga2timesan	CUNEIFORM SIGN GA2 TIMES AN
120BD	cuneiformsignga2timesash	CUNEIFORM SIGN GA2 TIMES ASH
120BE	cuneiformsignga2timesash2plusgal	CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL
120BF	cuneiformsignga2timesbad	CUNEIFORM SIGN GA2 TIMES BAD
120C0	cuneiformsignga2timesbarplusra	CUNEIFORM SIGN GA2 TIMES BAR PLUS RA
120C1	cuneiformsignga2timesbur	CUNEIFORM SIGN GA2 TIMES BUR
120C2	cuneiformsignga2timesburplusra	CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
120C3	cuneiformsignga2timesda	CUNEIFORM SIGN GA2 TIMES DA
120C4	cuneiformsignga2timesdi	CUNEIFORM SIGN GA2 TIMES DI
120C5	cuneiformsignga2timesdimtimesshe	CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
120C6	cuneiformsignga2timesdub	CUNEIFORM SIGN GA2 TIMES DUB
120C7	cuneiformsignga2timesel	CUNEIFORM SIGN GA2 TIMES EL
120C8	cuneiformsignga2timeselplusla	CUNEIFORM SIGN GA2 TIMES EL PLUS LA
120C9	cuneiformsignga2timesen	CUNEIFORM SIGN GA2 TIMES EN
120CA	cuneiformsignga2timesentimesgan2tenu	CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
120CB	cuneiformsignga2timesgan2tenu	CUNEIFORM SIGN GA2 TIMES GAN2 TENU
120CC	cuneiformsignga2timesgar	CUNEIFORM SIGN GA2 TIMES GAR
120CD	cuneiformsignga2timesgi	CUNEIFORM SIGN GA2 TIMES GI
120CE	cuneiformsignga2timesgi4	CUNEIFORM SIGN GA2 TIMES GI4
120CF	cuneiformsignga2timesgi4plusa	CUNEIFORM SIGN GA2 TIMES GI4 PLUS A
120D0	cuneiformsignga2timesgir2plussu	CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
120D1	cuneiformsignga2timeshaplusluplusesh2	CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
120D2	cuneiformsignga2timeshal	CUNEIFORM SIGN GA2 TIMES HAL
120D3	cuneiformsignga2timeshalplusla	CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
120D4	cuneiformsignga2timeshiplusli	CUNEIFORM SIGN GA2 TIMES HI PLUS LI
120D5	cuneiformsignga2timeshub2	CUNEIFORM SIGN GA2 TIMES HUB2
120D6	cuneiformsignga2timesigigunu	CUNEIFORM SIGN GA2 TIMES IGI GUNU
120D7	cuneiformsignga2timesishplushuplusash	CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
120D8	cuneiformsignga2timeskak	CUNEIFORM SIGN GA2 TIMES KAK
120D9	cuneiformsignga2timeskaskal	CUNEIFORM SIGN GA2 TIMES KASKAL
120DA	cuneiformsignga2timeskid	CUNEIFORM SIGN GA2 TIMES KID
120DB	cuneiformsignga2timeskidpluslal	CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
120DC	cuneiformsignga2timesku3plusan	CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
120DD	cuneiformsignga2timesla	CUNEIFORM SIGN GA2 TIMES LA
120DE	cuneiformsignga2timesmeplusen	CUNEIFORM SIGN GA2 TIMES ME PLUS EN
120DF	cuneiformsignga2timesmi	CUNEIFORM SIGN GA2 TIMES MI
120E0	cuneiformsignga2timesnun	CUNEIFORM SIGN GA2 TIMES NUN
120E1	cuneiformsignga2timesnunovernun	CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
120E2	cuneiformsignga2timespa	CUNEIFORM SIGN GA2 TIMES PA
120E3	cuneiformsignga2timessal	CUNEIFORM SIGN GA2 TIMES SAL
120E4	cuneiformsignga2timessar	CUNEIFORM SIGN GA2 TIMES SAR
120E5	cuneiformsignga2timesshe	CUNEIFORM SIGN GA2 TIMES SHE
120E6	cuneiformsignga2timessheplustur	CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR
120E7	cuneiformsignga2timesshid	CUNEIFORM SIGN GA2 TIMES SHID
120E8	cuneiformsignga2timessum	CUNEIFORM SIGN GA2 TIMES SUM
120E9	cuneiformsignga2timestak4	CUNEIFORM SIGN GA2 TIMES TAK4
120EA	cuneiformsignga2timesu	CUNEIFORM SIGN GA2 TIMES U
120EB	cuneiformsignga2timesud	CUNEIFORM SIGN GA2 TIMES UD
120EC	cuneiformsignga2timesudplusdu	CUNEIFORM SIGN GA2 TIMES UD PLUS DU
120ED	cuneiformsignga2overga2	CUNEIFORM SIGN GA2 OVER GA2
120EE	cuneiformsigngaba	CUNEIFORM SIGN GABA
120EF	cuneiformsigngabacrossinggaba	CUNEIFORM SIGN GABA CROSSING GABA
120F0	cuneiformsigngad	CUNEIFORM SIGN GAD
120F1	cuneiformsigngadovergadgarovergar	CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
120F2	cuneiformsigngal	CUNEIFORM SIGN GAL
120F3	cuneiformsigngalgadovergadgarovergar	CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR
120F4	cuneiformsigngalam	CUNEIFORM SIGN GALAM
120F5	cuneiformsigngam	CUNEIFORM SIGN GAM
120F6	cuneiformsigngan	CUNEIFORM SIGN GAN
