# Variation Selectors Supplement E0100 - E01EF
E01BF	variationselector208	VARIATION SELECTOR-208
E01C0	variationselector209	VARIATION SELECTOR-209
E01C1	variationselector210	VARIATION SELECTOR-210
E01C2	variationselector211	VARIATION SELECTOR-211
E01C3	variationselector212	VARIATION SELECTOR-212
E01C4	variationselector213	VARIATION SELECTOR-213
E01C5	variationselector214	VARIATION SELECTOR-214
E01C6	variationselector215	VARIATION SELECTOR-215
E01C7	variationselector216	VARIATION SELECTOR-216
E01C8	variationselector217	VARIATION SELECTOR-217
E01C9	variationselector218	VARIATION SELECTOR-218
E01CA	variationselector219	VARIATION SELECTOR-219
E01CB	variationselector220	VARIATION SELECTOR-220
E01CC	variationselector221	VARIATION SELECTOR-221
E01CD	variationselector222	VARIATION SELECTOR-222
E01CE	variationselector223	VARIATION SELECTOR-223
E01CF	variationselector224	VARIATION SELECTOR-224
E01D0	variationselector225	VARIATION SELECTOR-225
E01D1	variationselector226	VARIATION SELECTOR-226
E01D2	variationselector227	VARIATION SELECTOR-227
E01D3	variationselector228	VARIATION SELECTOR-228
E01D4	variationselector229	VARIATION SELECTOR-229
E01D5	variationselector230	VARIATION SELECTOR-230
E01D6	variationselector231	VARIATION SELECTOR-231
E01D7	variationselector232	VARIATION SELECTOR-232
E01D8	variationselector233	VARIATION SELECTOR-233
E01D9	variationselector234	VARIATION SELECTOR-234
E01DA	variationselector235	VARIATION SELECTOR-235
E01DB	variationselector236	VARIATION SELECTOR-236
E01DC	variationselector237	VARIATION SELECTOR-237
E01DD	variationselector238	VARIATION SELECTOR-238
E01DE	variationselector239	VARIATION SELECTOR-239
E01DF	variationselector240	VARIATION SELECTOR-240
E01E0	variationselector241	VARIATION SELECTOR-241
E01E1	variationselector242	VARIATION SELECTOR-242
E01E2	variationselector243	VARIATION SELECTOR-243
E01E3	variationselector244	VARIATION SELECTOR-244
E01E4	variationselector245	VARIATION SELECTOR-245
E01E5	variationselector246	VARIATION SELECTOR-246
E01E6	variationselector247	VARIATION SELECTOR-247
E01E7	variationselector248	VARIATION SELECTOR-248
E01E8	variationselector249	VARIATION SELECTOR-249
E01E9	variationselector250	VARIATION SELECTOR-250
E01EA	variationselector251	VARIATION SELECTOR-251
E01EB	variationselector252	VARIATION SELECTOR-252
E01EC	variationselector253	VARIATION SELECTOR-253
E01ED	variationselector254	VARIATION SELECTOR-254
E01EE	variationselector255	VARIATION SELECTOR-255
E01EF	variationselector256	VARIATION SELECTOR-256
