# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D400	Abold	MATHEMATICAL BOLD CAPITAL A
1D431	xbold	MATHEMATICAL BOLD SMALL X
1D432	ybold	MATHEMATICAL BOLD SMALL Y
1D433	zbold	MATHEMATICAL BOLD SMALL Z
1D434	Aitalic	MATHEMATICAL ITALIC CAPITAL A
1D435	Bitalic	MATHEMATICAL ITALIC CAPITAL B
1D436	Citalic	MATHEMATICAL ITALIC CAPITAL C
1D437	Ditalic	MATHEMATICAL ITALIC CAPITAL D
1D438	Eitalic	MATHEMATICAL ITALIC CAPITAL E
1D439	Fitalic	MATHEMATICAL ITALIC CAPITAL F
1D43A	Gitalic	MATHEMATICAL ITALIC CAPITAL G
1D43B	Hitalic	MATHEMATICAL ITALIC CAPITAL H
1D43C	Iitalic	MATHEMATICAL ITALIC CAPITAL I
1D43D	Jitalic	MATHEMATICAL ITALIC CAPITAL J
1D43E	Kitalic	MATHEMATICAL ITALIC CAPITAL K
1D43F	Litalic	MATHEMATICAL ITALIC CAPITAL L
1D440	Mitalic	MATHEMATICAL ITALIC CAPITAL M
1D441	Nitalic	MATHEMATICAL ITALIC CAPITAL N
1D442	Oitalic	MATHEMATICAL ITALIC CAPITAL O
1D443	Pitalic	MATHEMATICAL ITALIC CAPITAL P
1D444	Qitalic	MATHEMATICAL ITALIC CAPITAL Q
1D445	Ritalic	MATHEMATICAL ITALIC CAPITAL R
1D446	Sitalic	MATHEMATICAL ITALIC CAPITAL S
1D447	Titalic	MATHEMATICAL ITALIC CAPITAL T
1D448	Uitalic	MATHEMATICAL ITALIC CAPITAL U
1D449	Vitalic	MATHEMATICAL ITALIC CAPITAL V
1D44A	Witalic	MATHEMATICAL ITALIC CAPITAL W
1D44B	Xitalic	MATHEMATICAL ITALIC CAPITAL X
1D44C	Yitalic	MATHEMATICAL ITALIC CAPITAL Y
1D44D	Zitalic	MATHEMATICAL ITALIC CAPITAL Z
1D44E	aitalic	MATHEMATICAL ITALIC SMALL A
1D44F	bitalic	MATHEMATICAL ITALIC SMALL B
1D450	citalic	MATHEMATICAL ITALIC SMALL C
1D451	ditalic	MATHEMATICAL ITALIC SMALL D
1D452	eitalic	MATHEMATICAL ITALIC SMALL E
1D453	fitalic	MATHEMATICAL ITALIC SMALL F
1D454	gitalic	MATHEMATICAL ITALIC SMALL G
1D456	iitalic	MATHEMATICAL ITALIC SMALL I
1D457	jitalic	MATHEMATICAL ITALIC SMALL J
1D458	kitalic	MATHEMATICAL ITALIC SMALL K
1D459	litalic	MATHEMATICAL ITALIC SMALL L
1D45A	mitalic	MATHEMATICAL ITALIC SMALL M
1D45B	nitalic	MATHEMATICAL ITALIC SMALL N
1D45C	oitalic	MATHEMATICAL ITALIC SMALL O
