# Tibetan 00F00 - 00FFF
0F92	tibt:gasubjoined	TIBETAN SUBJOINED LETTER GA
0F93	tibt:ghasubjoined	TIBETAN SUBJOINED LETTER GHA
0F94	tibt:ngasubjoined	TIBETAN SUBJOINED LETTER NGA
0F95	tibt:casubjoined	TIBETAN SUBJOINED LETTER CA
0F96	tibt:chasubjoined	TIBETAN SUBJOINED LETTER CHA
0F97	tibt:jasubjoined	TIBETAN SUBJOINED LETTER JA
0F99	tibt:nyasubjoined	TIBETAN SUBJOINED LETTER NYA
0F9A	tibt:ttasubjoined	TIBETAN SUBJOINED LETTER TTA
0F9B	tibt:tthasubjoined	TIBETAN SUBJOINED LETTER TTHA
0F9C	tibt:ddasubjoined	TIBETAN SUBJOINED LETTER DDA
0F9D	tibt:ddhasubjoined	TIBETAN SUBJOINED LETTER DDHA
0F9E	tibt:nnasubjoined	TIBETAN SUBJOINED LETTER NNA
0F9F	tibt:tasubjoined	TIBETAN SUBJOINED LETTER TA
0FA0	tibt:thasubjoined	TIBETAN SUBJOINED LETTER THA
0FA1	tibt:dasubjoined	TIBETAN SUBJOINED LETTER DA
0FA2	tibt:dhasubjoined	TIBETAN SUBJOINED LETTER DHA
0FA3	tibt:nasubjoined	TIBETAN SUBJOINED LETTER NA
0FA4	tibt:pasubjoined	TIBETAN SUBJOINED LETTER PA
0FA5	tibt:phasubjoined	TIBETAN SUBJOINED LETTER PHA
0FA6	tibt:basubjoined	TIBETAN SUBJOINED LETTER BA
0FA7	tibt:bhasubjoined	TIBETAN SUBJOINED LETTER BHA
0FA8	tibt:masubjoined	TIBETAN SUBJOINED LETTER MA
0FA9	tibt:tsasubjoined	TIBETAN SUBJOINED LETTER TSA
0FAA	tibt:tshasubjoined	TIBETAN SUBJOINED LETTER TSHA
0FAB	tibt:dzasubjoined	TIBETAN SUBJOINED LETTER DZA
0FAC	tibt:dzhasubjoined	TIBETAN SUBJOINED LETTER DZHA
0FAD	tibt:wasubjoined	TIBETAN SUBJOINED LETTER WA
0FAE	tibt:zhasubjoined	TIBETAN SUBJOINED LETTER ZHA
0FAF	tibt:zasubjoined	TIBETAN SUBJOINED LETTER ZA
0FB0	tibt:subjoinedAA	TIBETAN SUBJOINED LETTER -A
0FB1	tibt:yasubjoined	TIBETAN SUBJOINED LETTER YA
0FB2	tibt:rasubjoined	TIBETAN SUBJOINED LETTER RA
0FB3	tibt:lasubjoined	TIBETAN SUBJOINED LETTER LA
0FB4	tibt:shasubjoined	TIBETAN SUBJOINED LETTER SHA
0FB5	tibt:ssasubjoined	TIBETAN SUBJOINED LETTER SSA
0FB6	tibt:sasubjoined	TIBETAN SUBJOINED LETTER SA
0FB7	tibt:hasubjoined	TIBETAN SUBJOINED LETTER HA
0FB8	tibt:asubjoined	TIBETAN SUBJOINED LETTER A
0FB9	tibt:kssasubjoined	TIBETAN SUBJOINED LETTER KSSA
0FBA	tibt:wasubjoinedfixed	TIBETAN SUBJOINED LETTER FIXED-FORM WA
0FBB	tibt:yasubjoinedfixed	TIBETAN SUBJOINED LETTER FIXED-FORM YA
0FBC	tibt:rasubjoinedfixed	TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FBE	tibt:kurukha	TIBETAN KU RU KHA
0FBF	tibt:kurukhabzhimigcan	TIBETAN KU RU KHA BZHI MIG CAN
0FC0	tibt:heavybeatcantillationsign	TIBETAN CANTILLATION SIGN HEAVY BEAT
0FC1	tibt:lightbeatcantillationsign	TIBETAN CANTILLATION SIGN LIGHT BEAT
0FC2	tibt:cangteucantillationsign	TIBETAN CANTILLATION SIGN CANG TE-U
0FC3	tibt:sbubchalcantillationsign	TIBETAN CANTILLATION SIGN SBUB -CHAL
0FC4	tibt:drilbusymbol	TIBETAN SYMBOL DRIL BU
0FC5	tibt:rdorjesymbol	TIBETAN SYMBOL RDO RJE
0FC6	tibt:padmagdansymbol	TIBETAN SYMBOL PADMA GDAN
0FC7	tibt:rdorjergyagramsymbol	TIBETAN SYMBOL RDO RJE RGYA GRAM
0FC8	tibt:phurpasymbol	TIBETAN SYMBOL PHUR PA
0FC9	tibt:norbusymbol	TIBETAN SYMBOL NOR BU
0FCA	tibt:norbunyiskhyilsymbol	TIBETAN SYMBOL NOR BU NYIS -KHYIL
0FCB	tibt:norbugsumkhyilsymbol	TIBETAN SYMBOL NOR BU GSUM -KHYIL
0FCC	tibt:norbubzhikhyilsymbol	TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCE	tibt:rdelnagrdeldkarsign	TIBETAN SIGN RDEL NAG RDEL DKAR
0FCF	tibt:rdelnaggsumsign	TIBETAN SIGN RDEL NAG GSUM
0FD0	tibt:bskashoggimgorgyanmark	TIBETAN MARK BSKA- SHOG GI MGO RGYAN
0FD1	tibt:mnyamyiggimgorgyanmark	TIBETAN MARK MNYAM YIG GI MGO RGYAN
0FD2	tibt:nyistshegmark	TIBETAN MARK NYIS TSHEG
0FD3	tibt:brdarnyingyigmgomdunmainitialmark	TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA
0FD4	tibt:brdarnyingyigmgosgabmaclosingmark	TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA
0FD5	tibt:svastiright	RIGHT-FACING SVASTI SIGN
0FD6	tibt:svastileft	LEFT-FACING SVASTI SIGN
0FD7	tibt:svastirightdot	RIGHT-FACING SVASTI SIGN WITH DOTS
0FD8	tibt:svastileftdot	LEFT-FACING SVASTI SIGN WITH DOTS
0FD9	tibt:leadingmchanrtagsmark	TIBETAN MARK LEADING MCHAN RTAGS
0FDA	tibt:trailingmchanrtagsmark	TIBETAN MARK TRAILING MCHAN RTAGS
