# Ethiopic 01200 - 0137F
12A2	ethi:iglottal	ETHIOPIC SYLLABLE GLOTTAL I
12A3	ethi:aaglottal	ETHIOPIC SYLLABLE GLOTTAL AA
12A4	ethi:eeglottal	ETHIOPIC SYLLABLE GLOTTAL EE
12A5	ethi:eglottal	ETHIOPIC SYLLABLE GLOTTAL E
12A6	ethi:oglottal	ETHIOPIC SYLLABLE GLOTTAL O
12A7	ethi:waglottal	ETHIOPIC SYLLABLE GLOTTAL WA
12A8	ethi:ka	ETHIOPIC SYLLABLE KA
12A9	ethi:ku	ETHIOPIC SYLLABLE KU
12AA	ethi:ki	ETHIOPIC SYLLABLE KI
12AB	ethi:kaa	ETHIOPIC SYLLABLE KAA
12AC	ethi:kee	ETHIOPIC SYLLABLE KEE
12AD	ethi:ke	ETHIOPIC SYLLABLE KE
12AE	ethi:ko	ETHIOPIC SYLLABLE KO
12AF	ethi:koa	ETHIOPIC SYLLABLE KOA
12B0	ethi:kwa	ETHIOPIC SYLLABLE KWA
12B2	ethi:kwi	ETHIOPIC SYLLABLE KWI
12B3	ethi:kwaa	ETHIOPIC SYLLABLE KWAA
12B4	ethi:kwee	ETHIOPIC SYLLABLE KWEE
12B5	ethi:kwe	ETHIOPIC SYLLABLE KWE
12B8	ethi:kxa	ETHIOPIC SYLLABLE KXA
12B9	ethi:kxu	ETHIOPIC SYLLABLE KXU
12BA	ethi:kxi	ETHIOPIC SYLLABLE KXI
12BB	ethi:kxaa	ETHIOPIC SYLLABLE KXAA
12BC	ethi:kxee	ETHIOPIC SYLLABLE KXEE
12BD	ethi:kxe	ETHIOPIC SYLLABLE KXE
12BE	ethi:kxo	ETHIOPIC SYLLABLE KXO
12C0	ethi:kxwa	ETHIOPIC SYLLABLE KXWA
12C2	ethi:kxwi	ETHIOPIC SYLLABLE KXWI
12C3	ethi:kxwaa	ETHIOPIC SYLLABLE KXWAA
12C4	ethi:kxwee	ETHIOPIC SYLLABLE KXWEE
12C5	ethi:kxwe	ETHIOPIC SYLLABLE KXWE
12C8	ethi:wa	ETHIOPIC SYLLABLE WA
12C9	ethi:wu	ETHIOPIC SYLLABLE WU
12CA	ethi:wi	ETHIOPIC SYLLABLE WI
12CB	ethi:waa	ETHIOPIC SYLLABLE WAA
12CC	ethi:wee	ETHIOPIC SYLLABLE WEE
12CD	ethi:we	ETHIOPIC SYLLABLE WE
12CE	ethi:wo	ETHIOPIC SYLLABLE WO
12CF	ethi:woa	ETHIOPIC SYLLABLE WOA
12D0	ethi:pharyngeala	ETHIOPIC SYLLABLE PHARYNGEAL A
12D1	ethi:pharyngealu	ETHIOPIC SYLLABLE PHARYNGEAL U
12D2	ethi:pharyngeali	ETHIOPIC SYLLABLE PHARYNGEAL I
12D3	ethi:pharyngealaa	ETHIOPIC SYLLABLE PHARYNGEAL AA
12D4	ethi:pharyngealee	ETHIOPIC SYLLABLE PHARYNGEAL EE
12D5	ethi:pharyngeale	ETHIOPIC SYLLABLE PHARYNGEAL E
12D6	ethi:pharyngealo	ETHIOPIC SYLLABLE PHARYNGEAL O
12D8	ethi:za	ETHIOPIC SYLLABLE ZA
12D9	ethi:zu	ETHIOPIC SYLLABLE ZU
12DA	ethi:zi	ETHIOPIC SYLLABLE ZI
12DB	ethi:zaa	ETHIOPIC SYLLABLE ZAA
12DC	ethi:zee	ETHIOPIC SYLLABLE ZEE
12DD	ethi:ze	ETHIOPIC SYLLABLE ZE
12DE	ethi:zo	ETHIOPIC SYLLABLE ZO
12DF	ethi:zwa	ETHIOPIC SYLLABLE ZWA
12E0	ethi:zha	ETHIOPIC SYLLABLE ZHA
12E1	ethi:zhu	ETHIOPIC SYLLABLE ZHU
12E2	ethi:zhi	ETHIOPIC SYLLABLE ZHI
12E3	ethi:zhaa	ETHIOPIC SYLLABLE ZHAA
12E4	ethi:zhee	ETHIOPIC SYLLABLE ZHEE
12E5	ethi:zhe	ETHIOPIC SYLLABLE ZHE
12E6	ethi:zho	ETHIOPIC SYLLABLE ZHO
