# Mathematical Operators 02200 - 022FF
22CD	tildeequalsreversed	REVERSED TILDE EQUALS
22CE	curlylogicalor	CURLY LOGICAL OR
22CF	curlylogicaland	CURLY LOGICAL AND
22D0	subsetdbl	DOUBLE SUBSET
22D1	sersetdblup	DOUBLE SUPERSET
22D2	intersectiondbl	DOUBLE INTERSECTION
22D3	uniondbl	DOUBLE UNION
22D4	pitchfork	PITCHFORK
22D5	equalandparallel	EQUAL AND PARALLEL TO
22D6	lessdot	LESS-THAN WITH DOT
22D7	greaterdot	GREATER-THAN WITH DOT
22D8	verymuchless	VERY MUCH LESS-THAN
22D9	verymuchgreater	VERY MUCH GREATER-THAN
22DA	lessequalorgreater	LESS-THAN EQUAL TO OR GREATER-THAN
22DB	greaterequalorless	GREATER-THAN EQUAL TO OR LESS-THAN
22DC	equalorless	EQUAL TO OR LESS-THAN
22DD	equalorgreater	EQUAL TO OR GREATER-THAN
22DE	equalorprecedes	EQUAL TO OR PRECEDES
22DF	equalorsucceeds	EQUAL TO OR SUCCEEDS
22E0	doesnotprecedeorequal	DOES NOT PRECEDE OR EQUAL
22E1	doesnotsucceedorequal	DOES NOT SUCCEED OR EQUAL
22E2	notsquareimageorequal	NOT SQUARE IMAGE OF OR EQUAL TO
22E3	notsquareoriginalorequal	NOT SQUARE ORIGINAL OF OR EQUAL TO
22E4	squareimageornotequal	SQUARE IMAGE OF OR NOT EQUAL TO
22E5	squareoriginalornotequal	SQUARE ORIGINAL OF OR NOT EQUAL TO
22E6	lessbutnotequivalent	LESS-THAN BUT NOT EQUIVALENT TO
22E7	greaterbutnotequivalent	GREATER-THAN BUT NOT EQUIVALENT TO
22E8	precedesbutnotequivalent	PRECEDES BUT NOT EQUIVALENT TO
22E9	succeedsbutnotequivalent	SUCCEEDS BUT NOT EQUIVALENT TO
22EA	notnormalsubgroup	NOT NORMAL SUBGROUP OF
22EB	doesnotcontainasnormalsubgroup	DOES NOT CONTAIN AS NORMAL SUBGROUP
22EC	notnormalsubgroorequalup	NOT NORMAL SUBGROUP OF OR EQUAL TO
22ED	doesnotcontainasnormalsubgroorequalup	DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
22EE	ellipsisvertical	VERTICAL ELLIPSIS
22EF	ellipsismidhorizontal	MIDLINE HORIZONTAL ELLIPSIS
22F0	ellipsisdiagonalupright	UP RIGHT DIAGONAL ELLIPSIS
22F1	ellipsisdiagonaldownright	DOWN RIGHT DIAGONAL ELLIPSIS
22F2	elementlonghorizontalstroke	ELEMENT OF WITH LONG HORIZONTAL STROKE
22F3	elementverticalbarhorizontalstroke	ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
