# Arabic 00600 - 006FF
06F2	artwo	EXTENDED ARABIC-INDIC DIGIT TWO
06F3	arthree	EXTENDED ARABIC-INDIC DIGIT THREE
06F4	arfour	EXTENDED ARABIC-INDIC DIGIT FOUR
06F5	arfive	EXTENDED ARABIC-INDIC DIGIT FIVE
06F6	arsix	EXTENDED ARABIC-INDIC DIGIT SIX
06F7	arseven	EXTENDED ARABIC-INDIC DIGIT SEVEN
06F8	areight	EXTENDED ARABIC-INDIC DIGIT EIGHT
06F9	arnine	EXTENDED ARABIC-INDIC DIGIT NINE
06FA	sheendotbelow	ARABIC LETTER SHEEN WITH DOT BELOW
06FB	daddotbelow	ARABIC LETTER DAD WITH DOT BELOW
06FC	ghaindotbelow	ARABIC LETTER GHAIN WITH DOT BELOW
06FD	ampersandSindhi	ARABIC SIGN SINDHI AMPERSAND
06FE	menpostSindhi	ARABIC SIGN SINDHI POSTPOSITION MEN
06FF	hehinvertedV	ARABIC LETTER HEH WITH INVERTED V
