# Hangul Jamo 01100 - 011FF
11C5	ko:nieunkiyeokjongseong	HANGUL JONGSEONG NIEUN-KIYEOK
11C6	ko:nieuntikeutjongseong	HANGUL JONGSEONG NIEUN-TIKEUT
11C7	ko:nieunsiosjongseong	HANGUL JONGSEONG NIEUN-SIOS
11C8	ko:nieunpansiosjongseong	HANGUL JONGSEONG NIEUN-PANSIOS
11C9	ko:nieunthieuthjongseong	HANGUL JONGSEONG NIEUN-THIEUTH
11CA	ko:tikeutkiyeokjongseong	HANGUL JONGSEONG TIKEUT-KIYEOK
11CB	ko:tikeutrieuljongseong	HANGUL JONGSEONG TIKEUT-RIEUL
11CC	ko:rieulkiyeoksiosjongseong	HANGUL JONGSEONG RIEUL-KIYEOK-SIOS
11CD	ko:rieulnieunjongseong	HANGUL JONGSEONG RIEUL-NIEUN
11CE	ko:rieultikeutjongseong	HANGUL JONGSEONG RIEUL-TIKEUT
11CF	ko:rieultikeuthieuhjongseong	HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH
11D0	ko:ssangrieuljongseong	HANGUL JONGSEONG SSANGRIEUL
11D1	ko:rieulmieumkiyeokjongseong	HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK
11D2	ko:rieulmieumsiosjongseong	HANGUL JONGSEONG RIEUL-MIEUM-SIOS
11D3	ko:rieulpieupsiosjongseong	HANGUL JONGSEONG RIEUL-PIEUP-SIOS
11D4	ko:rieulpieuphieuhjongseong	HANGUL JONGSEONG RIEUL-PIEUP-HIEUH
11D5	ko:rieulkapyeounpieupjongseong	HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP
11D6	ko:rieulssangsiosjongseong	HANGUL JONGSEONG RIEUL-SSANGSIOS
11D7	ko:rieulpansiosjongseong	HANGUL JONGSEONG RIEUL-PANSIOS
11D8	ko:rieulkhieukhjongseong	HANGUL JONGSEONG RIEUL-KHIEUKH
11D9	ko:rieulyeorinhieuhjongseong	HANGUL JONGSEONG RIEUL-YEORINHIEUH
11DA	ko:mieumkiyeokjongseong	HANGUL JONGSEONG MIEUM-KIYEOK
11DB	ko:mieumrieuljongseong	HANGUL JONGSEONG MIEUM-RIEUL
11DC	ko:mieumpieupjongseong	HANGUL JONGSEONG MIEUM-PIEUP
11DD	ko:mieumsiosjongseong	HANGUL JONGSEONG MIEUM-SIOS
11DE	ko:mieumssangsiosjongseong	HANGUL JONGSEONG MIEUM-SSANGSIOS
11DF	ko:mieumpansiosjongseong	HANGUL JONGSEONG MIEUM-PANSIOS
11E0	ko:mieumchieuchjongseong	HANGUL JONGSEONG MIEUM-CHIEUCH
11E1	ko:mieumhieuhjongseong	HANGUL JONGSEONG MIEUM-HIEUH
11E2	ko:kapyeounmieumjongseong	HANGUL JONGSEONG KAPYEOUNMIEUM
11E3	ko:pieuprieuljongseong	HANGUL JONGSEONG PIEUP-RIEUL
11E4	ko:pieupphieuphjongseong	HANGUL JONGSEONG PIEUP-PHIEUPH
11E5	ko:pieuphieuhjongseong	HANGUL JONGSEONG PIEUP-HIEUH
11E6	ko:kapyeounpieupjongseong	HANGUL JONGSEONG KAPYEOUNPIEUP
11E7	ko:sioskiyeokjongseong	HANGUL JONGSEONG SIOS-KIYEOK
11E8	ko:siostikeutjongseong	HANGUL JONGSEONG SIOS-TIKEUT
11E9	ko:siosrieuljongseong	HANGUL JONGSEONG SIOS-RIEUL
11EA	ko:siospieupjongseong	HANGUL JONGSEONG SIOS-PIEUP
11EB	ko:pansiosjongseong	HANGUL JONGSEONG PANSIOS
11EC	ko:ieungkiyeokjongseong	HANGUL JONGSEONG IEUNG-KIYEOK
11ED	ko:ieungssangkiyeokjongseong	HANGUL JONGSEONG IEUNG-SSANGKIYEOK
11EE	ko:ssangieungjongseong	HANGUL JONGSEONG SSANGIEUNG
11EF	ko:ieungkhieukhjongseong	HANGUL JONGSEONG IEUNG-KHIEUKH
11F0	ko:yesieungjongseong	HANGUL JONGSEONG YESIEUNG
11F1	ko:yesieungsiosjongseong	HANGUL JONGSEONG YESIEUNG-SIOS
11F2	ko:yesieungpansiosjongseong	HANGUL JONGSEONG YESIEUNG-PANSIOS
11F3	ko:phieuphpieupjongseong	HANGUL JONGSEONG PHIEUPH-PIEUP
11F4	ko:kapyeounphieuphjongseong	HANGUL JONGSEONG KAPYEOUNPHIEUPH
11F5	ko:hieuhnieunjongseong	HANGUL JONGSEONG HIEUH-NIEUN
11F6	ko:hieuhrieuljongseong	HANGUL JONGSEONG HIEUH-RIEUL
11F7	ko:hieuhmieumjongseong	HANGUL JONGSEONG HIEUH-MIEUM
11F8	ko:hieuhpieupjongseong	HANGUL JONGSEONG HIEUH-PIEUP
11F9	ko:yeorinhieuhjongseong	HANGUL JONGSEONG YEORINHIEUH
11FA	ko:kiyeoknieunjongseong	HANGUL JONGSEONG KIYEOK-NIEUN
11FB	ko:kiyeokpieupjongseong	HANGUL JONGSEONG KIYEOK-PIEUP
11FC	ko:kiyeokchieuchjongseong	HANGUL JONGSEONG KIYEOK-CHIEUCH
11FD	ko:kiyeokkhieukhjongseong	HANGUL JONGSEONG KIYEOK-KHIEUKH
11FE	ko:kiyeokhieuhjongseong	HANGUL JONGSEONG KIYEOK-HIEUH
11FF	ko:ssangnieunjongseong	HANGUL JONGSEONG SSANGNIEUN
